,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
barber5300rbp,0,Peyton Barber,5300,TB,@TEN,,,6.6,13.3,0.9,-0.33,1.2,0.5,3.3,6.93,-9,0.74,0,0,3,0,0.43,0.7,33,21.8,23.8,-0.2,2,45.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,53,3.7,0.5,0.454,2.44,1.44,0.94,62,0.73,0.02,6.8,-400,0.75,0.36,66,0.33,0.33,30,9.7,1.3,-700,0.61,0.29,76,0.28,0.04,21,RB,8,0.571,0.533,0.477,14,1,1,5,3,40,0,20,0.216,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,barber,peyton barber,p,barber5300rbp,39577-40857,RB,p,Peyton Barber,barber,7.950000127,6,5300,TB@TEN,TB,TEN,,,,,,ryland,ryland,peyton,barber5300rbp
barkley8600rbs,0,Saquon Barkley,8600,NYG,@DET,,,17.1,24.8,6,1.94,2,14.5,24.3,15.16,0,0.41,1,7.4,9,0,0.98,2.2,52,21.3,27.8,0.5,6.5,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,87,5.2,0.6,0.44,3.25,1.88,0.88,0,0,0,3.1,-600,0.13,0.05,20,0,0.8,50,13.9,1.1,2600,0.62,0.27,52,0.17,0.3,23,RB,8,0.615,0.745,0.803,16,5,4,29,15,6.8,0.2,4.1,0.116,0.349,0,0,0,0,0,0,0,0,0,0,0,0,0,barkley,saquon barkley,s,barkley8600rbs,39577-64401,RB,s,Saquon Barkley,barkley,14.52499962,4,8600,NYG@DET,NYG,DET,,,,,,ryland,ryland,saquon,barkley8600rbs
beasley5600wrc,0,Cole Beasley,5600,BUF,PHI,,,7.8,12.6,0.6,1.1,1.4,0.5,11.6,6.7,-14,0.74,1,1.3,0,0,0.43,3.3,46,20.3,19.3,-2,-1,39.5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.27,0.2,51,0.9,0.41,7.9,400,1.13,0.16,100,0.33,0,30,6.1,0.1,-400,0.9,0.13,58,0.29,0.25,24,WR,8,0,0,0,0,5,4,40,15,9.8,0.1,7.1,0.143,0,0.172,0.091,0.153,0,0,0,0,0,0,0,0,0,0,beasley,cole beasley,c,beasley5600wrc,39577-22288,WR,c,Cole Beasley,beasley,8.549999873,6,5600,PHI@BUF,BUF,PHI,,,,,,ryland,ryland,cole,beasley5600wrc
beckham7400wro,0,Odell Beckham,7400,CLE,@NE,,,10,16.1,1.3,-0.8,1.4,3,7.7,10.8,4,0.8,0.6,2.8,3,0,0.58,-0.7,61,16.8,26.3,-1,9.5,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.33,0.2,52,0.96,1,6,-500,0.62,0.1,25,0,0.75,40,10.7,0.6,1400,1.14,0.18,36,0.18,0.5,22,WR,8,0,0,0,0,8,4,76,34,15.8,0.5,7.9,0.333,0,0.275,0.357,0.303,0,0,0,0,0,0,0,0,0,0,beckham,odell beckham,o,beckham7400wro,39577-31360,WR,o,Odell Beckham Jr.,beckham,10.73333359,6,7400,CLE@NE,CLE,NE,,,,,,ryland,ryland,odell,beckham7400wro
bell7000rbl,0,Le'Veon Bell,7000,NYJ,@JAX,,,15.2,28.6,4.2,4.03,2.2,6.5,5,11.17,7,0.84,1,4.7,7,0,0.96,-0.3,57,16.3,23.3,-1.5,7,39.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,54,3.3,0.2,0.44,2,0.67,0.33,80,0.83,0.31,10.1,-300,0.52,0.19,75,0,0.25,40,12.6,0.1,1000,0.55,0.22,40,0.06,0.13,15,RB,8,0.5,0.813,0.922,16,6,4,29,11,60,0.2,4.4,0.167,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,bell,le'veon bell,l,bell7000rbl,39577-28181,RB,l,Le'Veon Bell,bell,12.76666641,6,7000,NYJ@JAC,NYJ,JAC,,,,,,ryland,ryland,le'veon,bell7000rbl
bernard4700rbg,0,Giovani Bernard,4700,CIN,@LA,,,5.2,8.5,0.3,-0.23,1.1,0.5,5.5,5.43,-18,0.43,0,0,2,0,0.64,0.6,26,18.3,30.3,0.8,12,48.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2.1,0,0.224,0.81,0.38,0.19,46,0.73,0.03,3.2,-100,0.49,0.11,75,0,0,40,3.4,-2.2,-1300,0.52,0.13,40,0,0.3,20,RB,8,0,0.08,0.411,3,3,2,16,12,6.8,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bernard,giovani bernard,g,bernard4700rbg,39577-25290,RB,g,Giovani Bernard,bernard,3.442857197,7,4700,CIN@LAR,CIN,LAR,,,,,,ryland,ryland,giovani,bernard4700rbg
bolden5000rbb,0,Brandon Bolden,5000,NE,CLE,,,2.3,4.2,0,-3.88,0.5,0.5,0,6.18,-22,0.17,0,0,6,0,0.36,1.6,8,26.3,16.8,-2,-9.5,43,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,6.6,0.4,0.524,0.47,0.4,0.33,52,0.96,1,8.7,500,2.05,0.79,100,0.66,0,60,4.9,0.8,-1000,1.6,0.62,47,0.23,0.28,21,RB,8,0.308,0.123,0.131,1,1,1,11,8,10.3,0.2,6.3,0.5,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,bolden,brandon bolden,b,bolden5000rbb,39577-22898,RB,b,Brandon Bolden,bolden,6.383333206,6,5000,CLE@NE,NE,CLE,,,,,,ryland,ryland,brandon,bolden5000rbb
bourne4800wrk,0,Kendrick Bourne,4800,SF,CAR,,,3,6,0,-1.87,0.6,0.5,1.7,4.87,-41,0.29,0,0,0,0,0.15,-0.3,41,22.8,18.3,-1.2,-4.5,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.33,0.13,69,0.09,0.01,4.5,300,1.92,0.14,100,0.33,0,30,5.5,0.5,-1200,1.43,0.14,77,0.33,0.05,18,WR,8,0,0,0,0,3,2,33,16,12.3,0.1,7.6,0.182,0,0.138,0.095,0.133,0,0,0,0,0,0,0,0,0,0,bourne,kendrick bourne,k,bourne4800wrk,39577-80289,WR,k,Kendrick Bourne,bourne,3.066666603,6,4800,CAR@SF,SF,CAR,,,,,,ryland,ryland,kendrick,bourne4800wrk
boyd5600wrt,0,Tyler Boyd,5600,CIN,@LA,,,11,20.3,2.1,4.3,2,6.5,9.8,6.7,8,0.82,0.95,5.9,5,0,0.94,0.1,59,18.3,30.3,0.8,12,48.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.13,0,46,0.73,0.03,7.7,-1400,0.75,0.12,66,0.16,0.33,60,9.7,1.2,-400,1.02,0.16,50,0.18,0.31,22,WR,8,0,0,0,0,8,5,72,25,12.6,0.3,7.7,0.333,0,0.253,0.222,0.296,0,0,0,0,0,0,0,0,0,0,boyd,tyler boyd,t,boyd5600wrt,39577-40669,WR,t,Tyler Boyd,boyd,10.55714308,7,5600,CIN@LAR,CIN,LAR,,,,,,ryland,ryland,tyler,boyd5600wrt
brady7900qbt,0,Tom Brady,7900,NE,CLE,,,18.6,27.6,11.7,1.64,2.4,6.5,18.36,16.96,-3,0.75,0.6,1.8,1,0,0.62,-0.6,70,26.3,16.8,-2,-9.5,43,72,24,37,279,64,7.5,7.2,1.5,38,28.5,56,10.5,4.1,1.4,3.6,1,1,1,0.7,0.2,0.36,6.56,3.25,1.38,52,0.96,1,16.3,100,0.36,0.22,85,0.42,0.14,70,17,-0.3,1900,0.43,0.24,76,0.26,0.1,30,QB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady7900qbt,39577-6498,QB,t,Tom Brady,brady,19.42571368,7,7900,CLE@NE,NE,CLE,,,,,,ryland,ryland,tom,brady7900qbt
