RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
arizona3700,47.18,Arizona,3700,ARI,DET,,,6.7,13.5,-0.1,1.99,1.8,0.5,4,4.71,6,0.94,0,0,3,0,0.98,-2.7,0,30,25.5,0.2,-4.5,55.5,74,0,0,0,0,0,0,0,0,0,0,0,0,1.25,7.16,0,0,0,0,0,0,0,0,0,0,0,0,6.5,400,0,0,100,1,0,20,4.7,-0.5,400,0,0,80,0.53,0.2,15,D,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5259,0.4731,0.0075,0.0432,7.77,11.13,5.47,2.92,0.1976,arizona,arizona,a,arizona3700,50179-12546:Arizona Cardinals,50179-12546,D,a,Arizona Cardinals,cardinals,7.5,2,3700,DET@ARI,ARI,DET,,,,Cardinals,Cardinals,arizona,arizona3700
atlanta3200,45.92,Atlanta,3200,ATL,CHI,,,6.4,13.5,-0.7,3.29,2,6.5,5,3.11,-4,0.45,0,0,2,0,0.98,-0.2,0,24.3,21.8,-1.2,-2.5,46,75,0,0,0,0,0,0,0,0,0,0,0,0,1.9,5.14,0,0,0,0,0,0,0,0,0,0,0,0,1,-400,0,0,50,0,0.5,20,5.3,-0.4,-400,0,0,56,0.37,0.43,16,D,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5352,0.509,0.0111,0.047,8.09,9.93,6.14,4.08,0.2215,atlanta,atlanta,a,atlanta3200,50179-12525:Atlanta Falcons,50179-12525,D,a,Atlanta Falcons,falcons,1,2,3200,CHI@ATL,ATL,CHI,,,,Falcons,Falcons,atlanta,atlanta3200
buffalo4400,35.41,Buffalo,4400,BUF,LA,,,6.6,13.5,-0.3,-0.36,1.5,0.5,5,6.96,6,0.94,0,0,1,0,0.62,-4.5,0,24,22.5,0,-1.5,46.5,50,0,0,0,0,0,0,0,0,0,0,0,0,2.14,8.38,0,0,0,0,0,0,0,0,0,79,0.6,0.01,5,-300,0,0,100,0.5,0,20,8.6,0.1,-300,0,0,100,0.63,0,19,D,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4464,0.4781,0.0126,0.0307,6.41,9.43,5.29,4.18,0.1818,buffalo,buffalo,b,buffalo4400,50179-12526:Buffalo Bills,50179-12526,D,b,Buffalo Bills,bills,5,2,4400,LAR@BUF,BUF,LAR,,,,Bills,Bills,buffalo,buffalo4400
carolina3500,34.62,Carolina,3500,CAR,@LAC,,,6.2,13,-0.6,2.13,1.8,0.5,11,4.07,-2,0.57,0,0,1,0,0.36,-1.1,0,18.8,24.8,0.3,6,43.5,39,0,0,0,0,0,0,0,0,0,0,0,0,2.39,8.17,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,50,0,0.5,20,4.9,-0.7,100,0,0,73,0.26,0.26,15,D,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.51,0.5472,0.0132,0.0579,7.74,10.27,4.6,2.77,0.2727,carolina,carolina,c,carolina3500,50179-12553:Carolina Panthers,50179-12553,D,c,Carolina Panthers,panthers,1,2,3500,CAR@LAC,CAR,LAC,,,,Panthers,Panthers,carolina,carolina3500
chicago4200,32.31,Chicago,4200,CHI,@ATL,,,6.3,13.1,-0.5,-0.02,1.5,3,4,6.32,-10,0.16,0,0,1,0,0.36,0.1,0,21.8,24.3,-0.7,2.5,46,25,0,0,0,0,0,0,0,0,0,0,0,0,1.51,4.91,0,0,0,0,0,0,0,0,0,0,0,0,7.5,-200,0,0,100,0.5,0,20,5.2,-3.1,-200,0,0,94,0.21,0.05,19,D,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4717,0.4746,0.0087,0.0346,6.64,90,3.93,2.29,0.1926,chicago,chicago,c,chicago4200,50179-12527:Chicago Bears,50179-12527,D,c,Chicago Bears,bears,7.5,2,4200,CHI@ATL,CHI,ATL,,,,Bears,Bears,chicago,chicago4200
cincinnati3300,44.35,Cincinnati,3300,CIN,@PHI,,,6.5,13.2,-0.2,3.07,2,3,7,3.43,-9,0.2,0,0,1,0,0.78,2.6,0,20.5,26,0.7,5.5,46.5,54,0,0,0,0,0,0,0,0,0,0,0,0,2.13,5.96,0,0,0,0,0,0,0,0,0,77,0.79,0.03,0.5,-300,0,0,50,0,0.5,20,3.7,-1.8,-300,0,0,76,0.35,0.23,17,D,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4745,0.4968,0.0106,0.0402,8.09,10.79,5.93,3.62,0.1589,cincinnati,cincinnati,c,cincinnati3300,50179-12528:Cincinnati Bengals,50179-12528,D,c,Cincinnati Bengals,bengals,0.5,2,3300,CIN@PHI,CIN,PHI,,,,Bengals,Bengals,cincinnati,cincinnati3300
cleveland3900,66.85,Cleveland,3900,CLE,WAS,,,7.9,16.3,-0.5,2.54,2,18.5,16,5.36,-1,0.63,0,0,4,0,0.99,-2.7,0,26.3,18.8,0.3,-7.5,45,56,0,0,0,0,0,0,0,0,0,0,0,0,2.37,6.51,0,0,0,0,0,0,0,0,0,79,0.57,0,2,900,0,0,50,0,0.5,20,5.3,-1.5,900,0,0,88,0.33,0.11,18,D,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5108,0.5079,0.0127,0.0496,7.15,12.14,6.14,3.42,0.2176,cleveland,cleveland,c,cleveland3900,50179-12529:Cleveland Browns,50179-12529,D,c,Cleveland Browns,browns,2,2,3900,WAS@CLE,CLE,WAS,,,,Browns,Browns,cleveland,cleveland3900
dallas3500,24.71,Dallas,3500,DAL,@SEA,,,5.2,10.7,-0.3,1.13,1.5,0.5,0,4.07,-9,0.2,0,0,1,0,0.68,-3.7,0,26.3,31.8,0.5,5.5,58,53,0,0,0,0,0,0,0,0,0,0,0,0,1.57,7.05,0,0,0,0,0,0,0,0,0,64,0.6,0.01,0.5,-300,0,0,50,0,0.5,20,6.1,-1.1,-300,0,0,81,0.4,0.18,22,D,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4912,0.4941,0.0086,0.0385,7.15,11.07,5.71,3.18,0.1687,dallas,dallas,d,dallas3500,50179-12530:Dallas Cowboys,50179-12530,D,d,Dallas Cowboys,cowboys,0.5,2,3500,DAL@SEA,DAL,SEA,,,,Cowboys,Cowboys,dallas,dallas3500
denver3700,36.42,Denver,3700,DEN,TB,,,5.6,12.3,-1.1,0.89,1.5,0.5,4,4.71,-8,0.25,0,0,2,0,0.79,3.8,0,18.3,24.3,-0.5,6,42.5,21,0,0,0,0,0,0,0,0,0,0,0,0,2.04,7.79,0,0,0,0,0,0,0,0,0,55,0.4,0.05,4.5,-800,0,0,100,0,0,20,7.3,0.1,-800,0,0,100,0.46,0,15,D,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.475,0.4851,0.0118,0.0287,6.97,9.6,5.15,3.1,0.1042,denver,denver,d,denver3700,50179-12531:Denver Broncos,50179-12531,D,d,Denver Broncos,broncos,4.5,2,3700,TB@DEN,DEN,TB,,,,Broncos,Broncos,denver,denver3700
detroit3000,30.16,Detroit,3000,DET,@ARI,,,5.2,10.7,-0.3,2.74,1.7,0.5,7,2.46,-9,0.2,0,0,1,0,0.79,-2.1,0,25.5,30,2.2,4.5,55.5,26,0,0,0,0,0,0,0,0,0,0,0,0,0.91,3.81,0,0,0,0,0,0,0,0,0,0,0,0,-1,-700,0,0,50,0,0.5,20,3.7,-2.8,-700,0,0,77,0.27,0.22,18,D,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5263,0.4977,0.0051,0.0474,7.87,10.67,5.38,4.1,0.2063,detroit,detroit,d,detroit3000,50179-12532:Detroit Lions,50179-12532,D,d,Detroit Lions,lions,-1,2,3000,DET@ARI,DET,ARI,,,,Lions,Lions,detroit,detroit3000
