RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
jacksonville3400,59.6,Jacksonville,3400,JAX,@ATL,,,5.8,13.7,0.9,2.05,1.7,0.5,5,3.75,-5,0.52,0,0,1,0,0.73,0.6,0,20.3,27.8,1.3,7.5,48,41,0,0,0,0,0,0,0,0,0,0,0,0,1.79,10.32,0,0,0,0,0,0,0,0,0,0,0,0,2.3,-800,0,0,50,0.25,0.5,40,6.4,0.8,-2600,0,0,66,0.52,0.33,21,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.5079,0.5081,0.0097,0.048,7.78,8.25,4.44,3.21,0.2273,jacksonville,jacksonville,j,jacksonville3400,41710-12554,D,j,Jacksonville Jaguars,jaguars,6,14,3400,JAC@ATL,JAC,ATL,,,,,,Jaguars,Jaguars,jacksonville,jacksonville3400
la chargers4000,81.57,LA Chargers,4000,LAC,OAK,,,7.1,13,1.4,1.42,1.8,0.5,3,5.68,-6,0.39,0,0,4,0,0.81,4.3,0,26.3,18.8,0,-7.5,45,45,0,0,0,0,0,0,0,0,0,0,0,0,2.3,6.47,0,0,0,0,0,0,0,0,0,63,0.6,0.09,3,100,0,0,100,0,0,30,6.8,0.3,-2000,0,0,84,0.4,0.16,25,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.4927,0.476,0.0121,0.036,7.15,7.93,3.93,2.4,0.1849,chargers,la chargers,l,la chargers4000,41710-12548,D,l,Los Angeles Chargers,chargers,5.571428571,14,4000,OAK@LAC,LAC,OAK,,,,,,Angeles,LA,la chargers,la chargers4000
miami4000,73.66,Miami,4000,MIA,CIN,,,6.7,14.6,1.5,1.02,1.7,0.5,2,5.68,5,0.85,0,0,2,0,0.76,3.7,0,22.3,23.8,-1.2,1.5,46,60,0,0,0,0,0,0,0,0,0,0,0,0,2.55,4.9,0,0,0,0,0,0,0,0,0,77,0.65,0.11,2.8,700,0,0,75,0.25,0.25,40,50,0,-2000,0,0,82,0.23,0.17,17,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5314,0.5141,0.0129,0.0545,8.05,10.94,4.93,30,0.2286,miami,miami,m,miami4000,41710-12539,D,m,Miami Dolphins,dolphins,2.928571429,14,4000,CIN@MIA,MIA,CIN,,,,,,Dolphins,Dolphins,miami,miami4000
new orleans3800,66.12,New Orleans,3800,NO,@TEN,,,7.4,15.4,1.6,2.37,1.9,3,6,5.03,2,0.83,0,0,2,0,0.76,-0.9,0,26.3,22.8,-1,-3.5,49,74,0,0,0,0,0,0,0,0,0,0,0,0,1.81,7.91,0,0,0,0,0,0,0,0,0,55,0.55,0.35,7.6,-1100,0,0,100,0.42,0,70,7.5,10,-2200,0,0,85,0.55,0.14,27,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4646,0.4522,0.0115,0.0446,7.05,10.13,5.13,3.31,0.1975,orleans,new orleans,n,new orleans3800,41710-12542,D,n,New Orleans Saints,saints,8.571428571,14,3800,NO@TEN,NO,TEN,,,,,,Orleans,Orleans,new orleans,new orleans3800
ny giants3900,70.82,NY Giants,3900,NYG,@WAS,,,7,14.6,1,1.64,1.8,3,-1,5.36,-1,0.61,0,0,3,0,0.76,-0.1,0,21.5,20.5,1.7,-1,42,51,0,0,0,0,0,0,0,0,0,0,0,0,1.93,6.5,0,0,0,0,0,0,0,0,0,44,0.59,0.01,4.8,-100,0,0,80,0.6,0.2,50,6.3,10,-2100,0,0,86,0.45,0.13,22,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5255,0.4133,0.0109,0.0491,8.13,9.81,4.4,3.38,0.2166,giants,ny giants,n,ny giants3900,41710-12543,D,n,New York Giants,giants,6.285714286,14,3900,NYG@WAS,NYG,WAS,,,,,,York,NY,ny giants,ny giants3900
ny jets3600,81.81,NY Jets,3600,NYJ,PIT,,,7.1,13.1,1.9,2.71,2,3,12,4.39,-11,0.25,0,0,3,0,0.83,4.2,0,16.8,19.8,-1.2,3,36.5,41,0,0,0,0,0,0,0,0,0,0,0,0,1.34,5.87,0,0,0,0,0,0,0,0,0,39,0.68,0.02,6.8,0,0,0,100,0.6,0,50,7.4,1.7,-2400,0,0,86,0.47,0.13,23,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.495,0.3957,0.0079,0.0462,7.11,10.93,5.67,3.14,0.2012,jets,ny jets,n,ny jets3600,41710-12544,D,n,New York Jets,jets,7.714285714,14,3600,PIT@NYJ,NYJ,PIT,,,,,,York,NY,ny jets,ny jets3600
oakland3700,72.66,Oakland,3700,OAK,@LAC,,,6.6,15,0.6,1.89,1.8,0.5,2,4.71,-2,0.91,0,0,2,0,0.61,3.6,0,18.8,26.3,-2,7.5,45,55,0,0,0,0,0,0,0,0,0,0,0,0,2.29,5.74,0,0,0,0,0,0,0,0,0,63,0.6,0.09,0.8,-900,0,0,50,0,0.5,40,5.9,10,-2300,0,0,77,0.36,0.22,22,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5163,0.5072,0.0129,0.0566,8.43,9.69,5.53,3.62,0.2387,oakland,oakland,o,oakland3700,41710-12537,D,o,Oakland Raiders,raiders,4.5,14,3700,OAK@LAC,OAK,LAC,,,,,,Raiders,Raiders,oakland,oakland3700
philadelphia4100,46.17,Philadelphia,4100,PHI,DAL,,,6.6,14.5,1.5,0.6,1.6,3,8,6,-4,0.54,0,0,1,0,0.43,-2.6,0,22.5,24.5,0,2,47,31,0,0,0,0,0,0,0,0,0,0,0,0,2,8.01,0,0,0,0,0,0,0,0,0,38,0.73,0.01,5.4,900,0,0,60,0.4,0.4,50,6.2,0,-1900,0,0,76,0.38,0.23,26,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4627,0.431,0.0124,0.0491,7.3,8.53,4.29,3.18,0.2188,philadelphia,philadelphia,p,philadelphia4100,41710-12545,D,p,Philadelphia Eagles,eagles,6.857142857,14,4100,DAL@PHI,PHI,DAL,,,,,,Eagles,Eagles,philadelphia,philadelphia4100
pittsburgh4900,77.71,Pittsburgh,4900,PIT,@NYJ,,,9.2,15.3,2,0.63,1.9,14.5,5,8.57,-1,0.23,0,0,4,0,0.8,-0.4,0,19.8,16.8,-1.2,-3,36.5,59,0,0,0,0,0,0,0,0,0,0,0,0,3.77,10.36,0,0,0,0,0,0,0,0,0,39,0.68,0.02,11,-100,0,0,100,0.6,0,50,11.6,4.9,-1100,0,0,88,0.76,0.12,25,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.4463,0.4657,0.0211,0.0356,6.77,8.75,4.43,30,0.1929,pittsburgh,pittsburgh,p,pittsburgh4900,41710-12547,D,p,Pittsburgh Steelers,steelers,12.07142857,14,4900,PIT@NYJ,PIT,NYJ,,,,,,Steelers,Steelers,pittsburgh,pittsburgh4900
seattle4400,66.43,Seattle,4400,SEA,ARI,,,7.1,14.1,1.4,0.14,1.6,6.5,4,6.96,-9,0.3,0,0,3,0,0.82,0.7,0,29.5,21.5,-1,-8,51,50,0,0,0,0,0,0,0,0,0,0,0,0,2.57,4.98,0,0,0,0,0,0,0,0,0,44,0.74,0.11,9.7,300,0,0,100,0.83,0,60,7.8,1.4,-1600,0,0,96,0.46,0.03,26,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4912,0.5041,0.0164,0.0414,7.03,8.44,4.2,2.5,0.237,seattle,seattle,s,seattle4400,41710-12550,D,s,Seattle Seahawks,seahawks,8.428571429,14,4400,ARI@SEA,SEA,ARI,,,,,,Seahawks,Seahawks,seattle,seattle4400
