RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
ryan6700qbm,66.69,Matt Ryan,6700,IND,TEN,,,15.86,26.1,5.6,-2.35,2.4,0.9,18.84,18.21,6.0,0.97,1.0,1.6,1.0,0.0,0.73,5.8,60.0,23.5,19.5,-0.3,-4.0,43.0,35.0,21.0,32.0,237.0,65.0,7.2,5.92,1.1,36.0,137.7,258.5,22.9,42.1,25.4,3.4,2.5,7.5,2.0,4.0,5.0,2.1,0.1,0.35700000000000004,6.0,2.65,1.41,0.0,0.0,0.0,10.2,-200,0.23,0.15,100.0,0.66,0.0,60.0,11.5,-3.8,700.0,0.3,0.19,70.0,0.41,0.25,24.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ryan,matt ryan,m,ryan6700qbm
wilson6500qbz,66.06,Zach Wilson,6500,NYJ,@PIT,,,13.4,22.5,4.3,-4.42,2.1,0.9,20.28,17.82,-5.0,0.33,1.0,0.8,1.0,0.0,0.64,0.5,54.0,19.3,22.3,3.5,3.0,41.5,36.0,15.0,27.0,170.0,55.0,6.1,4.72,0.7,30.0,85.9,204.9,19.4,61.9,12.9,2.6,1.5,9.7,2.0,10.0,16.0,6.6,0.4,0.44,3.29,1.71,0.82,60.0,0.7,0.11,0.0,-100,0.0,0.0,0.0,0.0,0.0,60.0,12.1,-2.0,500.0,0.36,0.22,40.0,0.18,0.09,22.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wilson,zach wilson,z,wilson6500qbz
fields6700qbj,65.73,Justin Fields,6700,CHI,@NYG,,,14.3,22.1,6.5,-3.91,2.1,0.7,10.16,18.21,0.0,0.76,0.0,0.0,1.0,0.0,0.57,-1.1,58.0,18.0,21.0,-0.5,3.0,39.0,46.0,14.0,23.0,169.0,60.0,7.2,4.5,0.8,34.0,105.6,240.3,16.1,50.0,24.6,3.5,4.8,11.2,7.0,14.0,39.0,5.5,0.2,0.47100000000000003,2.76,1.0,0.29,57.0,0.75,0.62,9.7,-200,0.35,0.18,83.0,0.5,0.16,60.0,12.5,-2.4,700.0,0.38,0.22,62.0,0.41,0.16,24.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fields,justin fields,j,fields6700qbj
trubisky6500qbm,64.77,Mitch Trubisky,6500,PIT,NYJ,,,15.86,25.7,6.0,-1.96,2.4,1.5,2.46,17.82,-1.0,0.64,0.0,0.0,1.0,0.0,0.57,5.5,25.0,22.3,19.3,3.0,-3.0,41.5,64.0,11.0,18.0,101.0,60.0,5.6,4.81,0.3,20.0,68.8,171.0,12.7,39.1,18.2,1.7,1.7,4.3,1.0,3.0,3.0,2.3,0.3,0.462,0.47,0.35,0.24,60.0,0.7,0.11,13.6,100,0.36,0.23,100.0,1.0,0.0,70.0,8.8,-0.5,500.0,0.42,0.35,38.0,0.26,0.15,26.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trubisky,mitch trubisky,m,trubisky6500qbm
carr7200qbd,64.68,Derek Carr,7200,LV,DEN,,,18.3,28.9,7.7,-0.89,2.5,5.9,11.52,19.19,3.0,0.91,0.0,0.4,1.0,0.0,0.57,-3.5,64.0,24.3,21.8,0.5,-2.5,46.0,58.0,24.0,35.0,261.0,67.0,7.3,6.31,1.4,37.0,136.9,308.2,19.5,52.0,20.7,4.0,2.6,6.2,1.0,5.0,6.0,3.7,0.0,0.455,6.39,2.89,1.17,0.0,0.0,0.0,19.2,-200,0.44,0.3,100.0,0.83,0.0,60.0,15.7,-2.0,1200.0,0.39,0.25,86.0,0.47,0.04,23.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carr,derek carr,d,carr7200qbd
brissett6800qbj,63.92,Jacoby Brissett,6800,CLE,@ATL,,,15.8,25.3,6.3,-2.6,2.3,0.9,15.96,18.4,1.0,0.83,1.0,2.8,1.0,0.0,0.64,6.9,40.0,24.8,23.8,0.8,-1.0,48.5,63.0,18.0,28.0,186.0,64.0,6.6,5.66,1.1,32.0,81.7,185.5,16.2,41.2,24.6,3.9,1.8,7.0,1.0,4.0,7.0,4.5,0.0,0.684,2.18,1.24,0.88,0.0,0.0,0.0,16.3,500,0.45,0.22,100.0,0.85,0.0,70.0,11.9,-0.8,800.0,0.37,0.3,47.0,0.34,0.13,23.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brissett,jacoby brissett,j,brissett6800qbj
mayfield6600qbb,63.67,Baker Mayfield,6600,CAR,ARI,,,14.96,24.3,5.7,-3.05,2.3,1.3,7.88,18.01,-5.0,0.33,1.0,0.8,1.0,0.0,0.57,3.7,60.0,22.3,21.3,-0.2,-1.0,43.5,24.0,16.0,29.0,198.0,56.0,6.6,5.16,1.3,43.0,103.5,262.6,16.9,47.7,24.3,4.5,3.1,9.7,2.0,6.0,9.0,3.5,0.1,0.444,3.44,1.5,0.72,63.0,0.71,0.0,13.4,0,0.39,0.23,100.0,0.66,0.0,60.0,12.6,-2.3,600.0,0.35,0.21,70.0,0.45,0.04,24.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mayfield,baker mayfield,b,mayfield6600qbb
rush6400qbc,63.42,Cooper Rush,6400,DAL,WAS,,,15.36,25.5,5.2,-2.26,2.4,1.2,17.62,17.62,1.0,0.83,1.0,0.8,1.0,0.0,0.73,10.1,35.0,22.0,19.0,-2.5,-3.0,41.0,69.0,11.0,17.0,133.0,63.0,7.7,7.68,0.7,35.0,78.9,153.7,16.4,43.4,13.1,4.1,0.6,5.0,1.0,0.0,-1.0,-0.7,0.0,0.0,1.0,0.41,0.18,0.0,0.0,0.0,10.5,300,0.39,0.22,75.0,0.75,0.25,40.0,6.8,-0.7,400.0,0.34,0.19,22.0,0.18,0.27,22.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rush,cooper rush,c,rush6400qbc
jones7000qbd,62.42,Daniel Jones,7000,NYG,CHI,,,16.2,25.4,7.0,-2.6,2.3,3.9,21.64,18.8,-6.0,0.28,1.0,0.4,1.0,0.0,0.46,-0.6,61.0,21.0,18.0,0.0,-3.0,39.0,54.0,20.0,31.0,200.0,63.0,6.3,5.01,1.0,34.0,98.5,205.7,15.5,51.3,17.5,3.2,2.6,7.5,5.0,10.0,23.0,4.1,0.0,0.469,3.0,1.29,0.94,57.0,0.75,0.62,14.5,-100,0.33,0.21,100.0,0.25,0.0,40.0,12.1,-2.7,1000.0,0.3,0.2,45.0,0.09,0.22,22.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jones,daniel jones,d,jones7000qbd
wentz6900qbc,61.20,Carson Wentz,6900,WAS,@DAL,,,14.8,23.5,6.1,-3.8,2.1,0.9,9.3,18.6,-3.0,0.46,0.5,0.8,1.0,0.0,0.77,-2.1,65.0,19.0,22.0,0.5,3.0,41.0,31.0,20.0,31.0,219.0,62.0,6.9,6.56,1.8,41.0,125.8,281.6,20.2,50.6,18.3,5.8,1.6,6.9,3.0,9.0,12.0,3.6,0.1,0.45799999999999996,5.41,2.41,1.71,0.0,0.0,0.0,22.2,100,0.43,0.29,83.0,0.83,0.16,60.0,16.7,-0.2,900.0,0.44,0.26,75.0,0.54,0.2,24.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wentz,carson wentz,c,wentz6900qbc
