RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,leverage,buzz,sr,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
burrow7100qbj,79.97,Joe Burrow,7100,CIN,@CHI,,,17.8,28.4,7.2,2.41,2.5,0.8,15.39,13.28,-1.0,0.68,2.5,0.86,1.0,0.0,0.63,1.0,68.0,22.8,21.8,1.8,-1.0,44.5,52.0,24.0,37.0,271.0,67.0,7.3,6.31,1.3,38.0,0.0,0.0,17.4,71.9,7.8,3.5,1.1,8.4,2.0,5.0,8.0,3.4,0.2,0.478,3.6,1.8,1.13,82.0,0.64,0.0,18.6,-100,0.56,0.27,33.0,0.33,0.0,30.0,17.3,0.7,1100.0,0.4,0.25,44.0,0.27,0.05,18.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,burrow,joe burrow,j,burrow7100qbj
tagovailoa6600qbt,79.96,Tua Tagovailoa,6600,MIA,BUF,,,17.1,27.0,7.2,2.69,2.6,0.5,14.41,0.52,-1.0,0.68,0.8,0.5,1.0,0.0,0.74,-1.2,56.0,23.5,26.5,1.2,3.0,50.0,24.0,18.0,28.0,183.0,63.0,6.4,5.65,1.1,23.0,0.0,0.0,12.6,52.7,24.6,3.9,1.8,6.7,3.0,5.0,10.0,2.8,0.4,0.475,3.13,2.0,1.19,88.0,0.64,0.21,14.7,0,0.44,0.28,66.0,0.33,0.0,30.0,13.3,0.5,600.0,0.39,0.24,52.0,0.36,0.15,19.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tagovailoa,tua tagovailoa,t,tagovailoa6600qbt
stafford7500qbm,79.26,Matthew Stafford,7500,LA,@IND,,,19.54,30.1,9.0,3.36,2.6,2.8,16.18,18.22,-2.0,0.59,3.3,1.0,1.0,0.0,0.74,8.0,58.0,26.3,21.8,0.5,-4.5,48.0,71.0,19.0,30.0,242.0,65.0,8.0,7.36,1.7,39.0,0.0,0.0,18.6,59.6,24.2,5.7,1.7,7.4,1.0,5.0,5.0,3.5,0.0,0.48,5.31,1.88,1.0,0.0,0.0,0.0,24.3,100,0.76,0.47,33.0,0.33,0.0,30.0,16.6,0.7,1500.0,0.49,0.29,68.0,0.42,0.15,19.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stafford,matthew stafford,m,stafford7500qbm
darnold6600qbs,78.40,Sam Darnold,6600,CAR,NO,,,16.38,26.0,6.7,1.97,2.5,0.5,14.41,19.9,-5.0,0.38,9990.0,0.97,1.0,0.0,0.57,0.5,62.0,22.8,21.8,1.5,-1.0,44.5,46.0,18.0,30.0,189.0,60.0,6.2,4.57,0.8,33.0,0.0,0.0,16.8,63.5,12.9,2.7,2.7,8.5,3.0,10.0,17.0,5.1,0.3,0.537,2.75,1.06,0.63,85.0,0.52,0.0,11.6,100,0.28,0.18,66.0,0.66,0.33,30.0,12.0,-1.2,600.0,0.33,0.19,61.0,0.38,0.16,18.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,darnold,sam darnold,s,darnold6600qbs
carr6500qbd,78.27,Derek Carr,6500,LV,@PIT,,,16.82,27.2,6.5,2.6,2.6,0.8,14.22,24.18,-4.0,0.44,0.8,0.0,1.0,0.0,0.69,1.3,62.0,20.5,26.0,-0.8,5.5,46.5,43.0,21.0,32.0,257.0,66.0,7.9,7.54,1.7,42.0,0.0,0.0,18.7,45.8,30.4,5.3,1.9,5.0,2.0,5.0,9.0,3.6,0.2,0.5379999999999999,5.94,3.25,1.81,78.0,0.59,0.0,25.0,0,0.0,0.0,50.0,0.5,0.0,40.0,17.9,2.4,500.0,0.49,0.29,72.0,0.59,0.13,22.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carr,derek carr,d,carr6500qbd
wentz6700qbc,77.48,Carson Wentz,6700,IND,LA,,,16.26,26.1,6.4,1.65,2.4,1.2,14.61,18.58,-8.0,0.21,1.7,0.33,1.0,0.0,0.51,-1.8,68.0,21.8,26.3,0.0,4.5,48.0,29.0,21.0,36.0,216.0,58.0,6.0,4.23,1.3,35.0,0.0,0.0,19.9,48.0,26.6,3.6,3.1,9.5,4.0,12.0,24.0,5.4,0.4,0.636,4.5,1.63,0.81,0.0,0.0,0.0,18.3,200,0.41,0.24,33.0,0.33,0.0,30.0,18.1,1.6,700.0,0.41,0.27,55.0,0.38,0.11,18.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wentz,carson wentz,c,wentz6700qbc
cousins7400qbk,76.13,Kirk Cousins,7400,MIN,@ARI,,,17.98,28.7,7.2,2.0,2.4,0.6,15.98,25.26,3.0,0.92,0.8,1.0,1.0,0.0,0.69,2.1,69.0,23.5,27.5,0.2,4.0,51.0,33.0,22.0,33.0,272.0,67.0,8.1,7.44,2.2,38.0,0.0,0.0,18.0,55.0,20.4,6.7,2.4,7.0,1.0,4.0,7.0,4.2,0.1,0.552,5.13,3.19,1.5,0.0,0.0,0.0,8.8,200,0.17,0.11,33.0,0.33,0.66,30.0,18.3,3.9,1400.0,0.48,0.26,80.0,0.71,0.14,21.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cousins,kirk cousins,k,cousins7400qbk
ryan6700qbm,75.78,Matt Ryan,6700,ATL,@TB,,,16.8,26.4,7.2,2.19,2.5,0.6,14.61,19.3,-4.0,0.44,2.5,0.88,1.0,0.0,0.74,2.9,69.0,19.3,32.8,-0.5,13.5,52.0,35.0,24.0,37.0,268.0,64.0,7.1,6.41,1.5,35.0,0.0,0.0,17.1,61.0,18.0,4.1,1.6,6.6,1.0,4.0,6.0,3.4,0.1,0.4,6.63,3.0,1.69,81.0,0.74,0.48,7.4,-600,0.18,0.11,0.0,0.0,0.33,30.0,17.0,0.5,700.0,0.4,0.25,70.0,0.35,0.15,20.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ryan,matt ryan,m,ryan6700qbm
garoppolo6600qbj,75.24,Jimmy Garoppolo,6600,SF,@PHI,,,16.56,28.3,4.8,2.15,2.5,0.5,14.41,19.64,2.0,0.89,0.8,0.88,1.0,0.0,0.82,3.9,49.0,26.0,23.0,0.5,-3.0,49.0,59.0,15.0,22.0,191.0,69.0,8.7,6.98,1.0,35.0,0.0,0.0,20.5,49.2,27.3,4.5,3.6,6.4,2.0,2.0,3.0,1.5,0.0,0.25,1.0,0.38,0.25,77.0,0.41,0.0,8.1,-300,0.28,0.16,66.0,0.33,0.33,30.0,8.4,-1.2,600.0,0.33,0.17,25.0,0.1,0.2,20.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,garoppolo,jimmy garoppolo,j,garoppolo6600qbj
roethlisberger7200qbb,74.72,B. Roethlisberger,7200,PIT,LV,,,18.64,29.5,7.8,3.05,2.6,2.2,15.59,14.8,-1.0,0.68,3.3,0.67,1.0,0.0,0.63,3.1,66.0,26.0,20.5,-0.8,-5.5,46.5,57.0,26.0,40.0,250.0,65.0,6.2,6.2,2.1,36.0,0.0,0.0,14.3,68.3,17.1,5.3,1.8,2.2,1.0,1.0,0.0,0.2,0.0,0.115,5.06,2.94,1.65,78.0,0.59,0.0,12.8,100,0.34,0.22,66.0,0.33,0.0,30.0,18.0,1.6,1200.0,0.42,0.27,77.0,0.45,0.09,22.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,roethlisberger,b. roethlisberger,b,roethlisberger7200qbb
