RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
mahomes9000qbp,90.00,Patrick Mahomes,9000,KC,@WAS,,,25.06,35.9,14.2,2.34,2.8,21.0,24.98,22.72,0.0,0.79,1.0,0.0,1.0,0.0,0.85,3.6,69.0,30.0,24.0,-1.0,-6.0,54.0,81.0,27.0,39.0,315.0,67.0,7.9,8.09,2.7,39.0,0.0,0.0,16.5,57.2,30.2,6.9,1.8,3.9,4.0,12.0,23.0,5.3,0.1,0.541,6.5,3.13,1.38,62.0,0.46,0.0,25.9,400,0.52,0.34,100.0,1.0,0.0,40.0,22.0,2.6,3000.0,0.48,0.32,80.0,0.57,0.14,21.0,QB,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mahomes,patrick mahomes,p,mahomes9000qbp
heinicke7300qbt,83.50,Taylor Heinicke,7300,WAS,KC,,,19.46,28.9,10.0,0.07,2.7,5.7,10.28,19.39,-4.0,0.44,1.0,0.0,1.0,0.0,0.51,7.5,56.0,24.0,30.0,-0.5,6.0,54.0,19.0,19.0,29.0,224.0,64.0,7.6,7.13,1.5,42.0,0.0,0.0,16.3,62.4,19.1,5.2,2.8,3.3,4.0,11.0,24.0,5.3,0.2,0.5710000000000001,3.43,2.0,1.29,62.0,0.46,0.0,20.9,500,0.52,0.31,100.0,0.66,0.0,30.0,14.5,20.0,1300.0,0.41,0.26,70.0,0.4,0.2,10.0,QB,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,heinicke,taylor heinicke,t,heinicke7300qbt
wentz6700qbc,77.00,Carson Wentz,6700,IND,HOU,,,18.08,30.6,5.6,-0.13,2.7,3.0,17.02,18.21,2.0,0.89,1.0,0.0,1.0,0.0,0.63,1.0,66.0,28.3,16.8,1.8,-11.5,45.0,48.0,20.0,34.0,213.0,58.0,6.2,5.01,1.4,37.0,0.0,0.0,20.5,49.7,24.5,4.1,1.8,9.8,3.0,11.0,20.0,5.2,0.2,0.5579999999999999,4.88,2.19,1.06,0.0,0.0,0.0,16.7,0,0.43,0.26,75.0,0.75,0.25,40.0,17.0,-0.8,700.0,0.4,0.26,50.0,0.38,0.16,18.0,QB,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wentz,carson wentz,c,wentz6700qbc
stafford7900qbm,66.00,Matthew Stafford,7900,LA,@NYG,,,20.36,33.5,7.3,-0.2,2.6,6.0,26.24,20.56,3.0,0.92,1.0,0.0,1.0,0.0,0.69,-1.2,59.0,29.8,21.8,0.8,-8.0,51.5,77.0,20.0,31.0,260.0,66.0,8.3,7.94,1.7,43.0,0.0,0.0,16.5,65.2,20.8,5.5,1.6,5.5,1.0,4.0,4.0,2.7,0.0,0.452,5.24,1.82,1.06,63.0,0.48,0.02,20.6,400,0.52,0.32,100.0,1.0,0.0,50.0,17.2,-1.3,1900.0,0.49,0.29,71.0,0.52,0.14,21.0,QB,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stafford,matthew stafford,m,stafford7900qbm
jones6500qbm,62.00,Mac Jones,6500,NE,DAL,,,17.58,28.9,6.2,-0.24,2.7,3.5,15.76,17.82,-1.0,0.68,1.0,0.0,1.0,0.0,0.63,0.7,65.0,23.5,27.0,0.5,3.5,50.5,28.0,27.0,38.0,248.0,71.0,6.5,5.12,1.0,26.0,0.0,0.0,15.3,41.1,21.6,2.6,2.6,5.5,1.0,2.0,6.0,3.8,0.0,0.625,4.0,1.4,0.2,59.0,0.63,0.04,13.1,-300,0.31,0.21,100.0,0.75,0.0,40.0,11.6,-3.1,500.0,0.28,0.18,85.0,0.57,0.14,70.0,QB,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jones,mac jones,m,jones6500qbm
murray8400qbk,59.50,Kyler Murray,8400,ARI,@CLE,,,21.28,31.7,10.9,-0.26,2.5,6.2,25.76,21.54,0.0,0.79,0.88,0.0,2.0,0.0,0.99,1.2,67.0,22.5,25.5,-3.0,3.0,48.0,45.0,23.0,33.0,261.0,68.0,7.7,7.36,1.8,44.0,0.0,0.0,18.3,64.6,12.4,5.5,1.8,5.2,7.0,14.0,39.0,5.2,0.6,0.5820000000000001,6.44,3.63,1.81,60.0,0.55,0.04,22.7,-300,0.55,0.34,100.0,0.5,0.0,40.0,22.3,2.4,2400.0,0.52,0.33,78.0,0.47,0.15,19.0,QB,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,murray,kyler murray,k,murray8400qbk
herbert8000qbj,55.00,Justin Herbert,8000,LAC,@BAL,,,21.16,31.9,10.4,0.4,2.6,8.8,12.0,20.76,-1.0,0.68,1.0,0.0,1.0,0.0,0.85,-0.6,73.0,23.8,26.8,-0.5,3.0,50.5,59.0,27.0,41.0,294.0,66.0,7.1,6.93,2.2,42.0,0.0,0.0,23.6,54.2,19.1,5.4,1.5,4.7,3.0,8.0,14.0,4.1,0.3,0.44799999999999995,8.31,4.31,1.81,62.0,0.47,0.0,27.9,400,0.61,0.39,100.0,0.75,0.0,40.0,23.9,3.7,2000.0,0.51,0.33,80.0,0.55,0.05,20.0,QB,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,herbert,justin herbert,j,herbert8000qbj
burrow7400qbj,53.50,Joe Burrow,7400,CIN,@DET,,,19.8,31.1,8.5,0.22,2.7,6.8,23.84,19.58,-4.0,0.44,1.0,0.0,1.0,0.0,0.74,-2.1,63.0,25.8,22.3,0.3,-3.5,48.0,51.0,23.0,34.0,265.0,68.0,7.8,6.83,1.8,43.0,0.0,0.0,16.1,72.5,9.1,5.3,2.4,6.3,2.0,5.0,8.0,3.1,0.2,0.423,3.06,1.44,1.0,0.0,0.0,0.0,19.4,300,0.57,0.35,100.0,0.8,0.0,50.0,19.1,0.3,1400.0,0.49,0.3,55.0,0.4,0.0,20.0,QB,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,burrow,joe burrow,j,burrow7400qbj
mayfield6800qbb,50.00,Baker Mayfield,6800,CLE,ARI,,,17.06,27.7,6.4,-1.34,2.5,1.3,13.16,18.4,1.0,0.85,1.0,0.0,1.0,0.0,0.82,-2.8,65.0,25.5,22.5,-3.0,-3.0,48.0,55.0,19.0,29.0,239.0,64.0,8.0,7.55,1.3,36.0,0.0,0.0,18.6,47.2,28.2,4.5,1.4,6.5,3.0,7.0,12.0,3.3,0.1,0.45,5.5,2.94,1.38,60.0,0.55,0.04,16.9,-300,0.47,0.24,75.0,0.75,0.0,40.0,16.1,-1.2,800.0,0.45,0.24,61.0,0.42,0.23,21.0,QB,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mayfield,baker mayfield,b,mayfield6800qbb
mills6700qbd,49.00,Davis Mills,6700,HOU,@IND,,,12.96,22.0,3.9,-5.25,1.9,0.5,8.22,18.21,0.0,0.79,1.0,0.0,0.0,0.0,0.51,4.9,49.0,16.8,28.3,-0.2,11.5,45.0,52.0,14.0,24.0,167.0,61.0,7.0,4.38,1.3,37.0,0.0,0.0,14.6,59.4,17.7,5.4,5.4,10.4,1.0,1.0,0.0,0.8,0.0,0.25,2.0,1.0,0.4,0.0,0.0,0.0,10.6,700,0.38,0.22,80.0,0.2,0.2,50.0,9.1,-2.7,700.0,0.33,0.19,66.0,0.11,0.22,90.0,QB,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mills,davis mills,d,mills6700qbd
