RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
indianapolis3600,0,Indianapolis,3600,IND,@TEN,,,6.6,14.7,1.2,2.21,1.8,0.5,5,4.39,0,0.86,0,0,1,0,0.76,-2.4,0,20.3,23.3,-0.2,3,43.5,38,0,0,0,0,0,0,0,0,0,0,0,0,2.55,6.57,0,0,0,0,0,0,0,0,0,91,0.5,0.01,8,0,0,0,100,0.33,0,30,7.6,20,-2400,0,0,86,0.56,0.13,23,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5401,0.4615,0.0146,0.0353,7.52,8.31,4.92,2.9,0.1729,indianapolis,indianapolis,i,indianapolis3600,38352-12535:Indianapolis Colts,38352-12535,D,i,Indianapolis Colts,colts,7,1,3600,IND@TEN,IND,TEN,,,,Colts,Colts,indianapolis,indianapolis3600
jacksonville3800,0,Jacksonville,3800,JAX,@HOU,,,7.1,13.1,0.7,2.07,1.9,3,8,5.03,0,0.25,0,0,2,0,0.61,1.4,0,17.8,25.3,-0.2,7.5,43,48,0,0,0,0,0,0,0,0,0,0,0,0,2.02,7.06,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,-100,0,0,0,0,1,30,5.4,-0.6,-2200,0,0,61,0.28,0.38,21,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4839,0.4256,0.0108,0.0396,7.07,9.13,4.38,30,0.1781,jacksonville,jacksonville,j,jacksonville3800,38352-12554:Jacksonville Jaguars,38352-12554,D,j,Jacksonville Jaguars,jaguars,-4,1,3800,JAC@HOU,JAC,HOU,,,,Jaguars,Jaguars,jacksonville,jacksonville3800
kansas city4400,0,Kansas City,4400,KC,@OAK,,,6.9,14.2,1.3,-0.06,1.6,3,11,6.96,0,0.45,0,0,1,0,0.81,0.3,0,30.3,23.3,0.5,-7,53.5,74,0,0,0,0,0,0,0,0,0,0,0,0,2.28,8.47,0,0,0,0,0,0,0,0,0,67,0.6,0.01,5.5,500,0,0,75,0.25,0.25,40,7.4,2.1,-1600,0,0,75,0.55,0.24,29,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4951,0.5718,0.0137,0.0504,7.58,11.67,6.5,3.71,0.2286,city,kansas city,k,kansas city4400,38352-12536:Kansas City Chiefs,38352-12536,D,k,Kansas City Chiefs,chiefs,5,1,4400,KC@OAK,KC,OAK,,,,City,City,kansas city,kansas city4400
la chargers4000,0,LA Chargers,4000,LAC,@DET,,,6.4,14.5,1.7,0.72,1.6,0.5,8,5.68,0,0.81,0,0,1,0,0.82,-0.1,0,24,23,-1,-1,47,64,0,0,0,0,0,0,0,0,0,0,0,0,2.37,6.75,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,50,0.25,0.5,40,70,0.7,-2000,0,0,80,0.5,0.19,26,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4818,0.5062,0.0138,0.0369,6.97,9.63,5.73,3.38,0.1688,chargers,la chargers,l,la chargers4000,38352-12548:Los Angeles Chargers,38352-12548,D,l,Los Angeles Chargers,chargers,2,1,4000,LAC@DET,LAC,DET,,,,Angeles,LA,la chargers,la chargers4000
la rams3600,0,LA Rams,3600,LA,NO,,,6.8,14.4,1.2,2.41,1.9,0.5,8,4.39,0,0.78,0,0,2,0,0.81,-0.4,0,27.3,25.3,-1.2,-2,52.5,58,0,0,0,0,0,0,0,0,0,0,0,0,2.82,7.53,0,0,0,0,0,0,0,0,0,85,0.42,0,9.5,-800,0,0,100,0.25,0,40,8.7,1.5,-2400,0,0,84,0.5,0.15,26,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4727,0.4896,0.0165,0.0513,7.61,8.73,4.14,2.33,0.2366,rams,la rams,l,la rams3600,38352-12538:Los Angeles Rams,38352-12538,D,l,Los Angeles Rams,rams,9,1,3600,NO@LAR,LAR,NO,,,,Angeles,LA,la rams,la rams3600
miami2500,0,Miami,2500,MIA,NE,,,4.8,13.6,0.8,3.95,1.9,0.5,3,0.85,0,0.49,0,0,1,0,0.5,-1,0,15.3,33.3,-0.5,18,48.5,38,0,0,0,0,0,0,0,0,0,0,0,0,3.63,6.25,0,0,0,0,0,0,0,0,0,90,0.63,0.17,5.8,-500,0,0,75,0,0.25,40,6.7,1.8,-3500,0,0,75,0.5,0.25,20,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.5222,0.4801,0.0181,0.0581,8.67,10.75,6.14,3.46,0.2209,miami,miami,m,miami2500,38352-12539:Miami Dolphins,38352-12539,D,m,Miami Dolphins,dolphins,-3,1,2500,NE@MIA,MIA,NE,,,,Dolphins,Dolphins,miami,miami2500
minnesota4000,0,Minnesota,4000,MIN,@GB,,,6.8,13.1,0.8,1.12,1.7,0.5,6,5.68,0,0.39,0,0,2,0,0.8,3.7,0,20,23,-1.8,3,43,52,0,0,0,0,0,0,0,0,0,0,0,0,1.74,9.11,0,0,0,0,0,0,0,0,0,72,0.81,0.04,8.7,-300,0,0,66,0.33,0.33,30,6.6,0.4,-2000,0,0,82,0.43,0.17,23,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.4826,0.5116,0.0096,0.0316,6.87,8.56,3.93,2.88,0.1679,minnesota,minnesota,m,minnesota4000,38352-12540:Minnesota Vikings,38352-12540,D,m,Minnesota Vikings,vikings,16,1,4000,MIN@GB,MIN,GB,,,,Vikings,Vikings,minnesota,minnesota4000
new england4900,0,New England,4900,NE,@MIA,,,8.2,14.6,1.5,-0.37,1.7,14.5,37,8.57,0,0.14,0,0,2,0,0.73,6.1,0,33.3,15.3,2,-18,48.5,62,0,0,0,0,0,0,0,0,0,0,0,0,2.75,4.37,0,0,0,0,0,0,0,0,0,90,0.63,0.17,8,1100,0,0,100,0.25,0,40,8.4,1.9,-1100,0,0,88,0.51,0.11,27,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4709,0.4971,0.0177,0.0363,6.84,8.47,4.07,2.42,0.189,england,new england,n,new england4900,38352-12541:New England Patriots,38352-12541,D,n,New England Patriots,patriots,10,1,4900,NE@MIA,NE,MIA,,,,England,England,new england,new england4900
new orleans3800,0,New Orleans,3800,NO,@LA,,,6.3,14.2,1.4,1.27,1.7,0.5,5,5.03,0,0.72,0,0,1,0,0.73,0,0,25.3,27.3,-0.2,2,52.5,42,0,0,0,0,0,0,0,0,0,0,0,0,1.98,8.09,0,0,0,0,0,0,0,0,0,85,0.42,0,7.6,-300,0,0,80,0.6,0.2,50,7.4,2.2,-2200,0,0,84,0.6,0.16,25,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5116,0.4543,0.0125,0.0455,7.71,8.25,4.93,3.67,0.25,orleans,new orleans,n,new orleans3800,38352-12542:New Orleans Saints,38352-12542,D,n,New Orleans Saints,saints,7,1,3800,NO@LAR,NO,LAR,,,,Orleans,Orleans,new orleans,new orleans3800
ny giants3500,0,NY Giants,3500,NYG,BUF,,,7,13.9,1.4,2.93,2,6.5,2,4.07,0,0.25,0,0,1,0,0.8,1.9,0,21.8,22.8,1.8,1,44.5,45,0,0,0,0,0,0,0,0,0,0,0,0,2.68,5.19,0,0,0,0,0,0,0,0,0,82,0.42,0.01,6.5,100,0,0,75,0.25,0.25,40,5.3,0,-2500,0,0,78,0.3,0.21,23,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5027,0.4686,0.015,0.0498,7.97,10.73,5.07,3.55,0.2112,giants,ny giants,n,ny giants3500,38352-12543:New York Giants,38352-12543,D,n,New York Giants,giants,-4,1,3500,BUF@NYG,NYG,BUF,,,,York,NY,ny giants,ny giants3500
