,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
agholor4800wrn,67.76,Nelson Agholor,4800,PHI,NE,,,6.9,12.7,0.1,2.03,1.4,0.5,6.0,4.87,-5.0,0.76,1.0,0.6,2.0,0.0,0.6,-0.8,61.0,20.3,24.8,-0.7,4.5,45.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.38,0.19,40.0,0.65,0.05,3.5,-300,0.61,0.05,25.0,0.0,0.0,40.0,6.3,0.1,-1200.0,1.2,0.1,37.0,0.16,0.33,24.0,WR,11,0.0,0.0,0.0,0.0,5.0,3.0,35.0,22.0,11.3,0.4,5.7,0.444,0.0,0.156,0.214,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,agholor,nelson agholor,n,agholor4800wrn,40387-29683,WR,n,Nelson Agholor,agholor,6.766666836208768,9,4800,NE@PHI,PHI,NE,,,,,,ryland,ryland,nelson,agholor4800wrn
akins4700tej,56.3,Jordan Akins,4700,HOU,@BAL,,,4.3,7.3,0.0,0.06,0.9,0.5,2.0,4.24,-13.0,0.6,1.0,0.7,2.0,0.0,0.09,-0.3,33.0,23.5,27.5,0.7,4.0,51.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.06,0.06,41.0,0.6,0.0,2.9,100,0.87,0.07,100.0,0.0,0.0,30.0,3.9,0.1,-1300.0,1.64,0.12,71.0,0.04,0.09,21.0,TE,11,0.0,0.0,0.0,0.0,2.0,1.0,24.0,16.0,13.7,0.1,9.6,0.25,0.0,0.078,0.07400000000000001,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akins,jordan akins,j,akins4700tej,40387-57338,TE,j,Jordan Akins,akins,5.1999999152289496,9,4700,HOU@BAL,HOU,BAL,,,,,,ryland,ryland,jordan,akins4700tej
allen6800qbb,42.53,Brandon Allen,6800,DEN,@MIN,,,12.4,20.5,5.6,-2.4,1.8,0.5,14.4,14.8,-10.0,0.45,0.0,0.0,0.0,0.0,0.06,-0.5,50.0,15.3,25.3,0.8,10.0,40.5,32.0,12.0,20.0,193.0,60.0,9.7,9.35,2.0,75.0,10.0,55.0,25.0,10.0,0.0,13.0,5.0,11.0,13.0,2.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.5,800,0.3,0.17,50.0,0.5,0.5,20.0,3.4,0.2,800.0,0.12,0.07,4.0,0.04,0.17,23.0,QB,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,brandon allen,b,allen6800qbb,40387-31170,QB,b,Brandon Allen,allen,17.020000457763672,1,6800,DEN@MIN,DEN,MIN,,,,,,ryland,ryland,brandon,allen6800qbb
allen7200qbk,65.07,Kyle Allen,7200,CAR,ATL,,,16.9,25.5,9.2,1.31,2.3,6.5,9.7,15.59,-3.0,0.52,1.0,10.0,1.0,0.0,0.19,6.6,60.0,26.3,22.8,-2.2,-3.5,49.0,60.0,18.0,29.0,207.0,61.0,7.0,5.85,1.3,36.0,21.5,57.4,16.6,4.5,2.1,8.2,2.0,2.0,3.0,1.8,0.1,0.222,3.45,1.82,0.91,50.0,0.61,0.0,11.2,200,0.26,0.16,66.0,0.33,0.33,30.0,9.7,0.0,1200.0,0.29,0.16,37.0,0.25,0.37,16.0,QB,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,kyle allen,k,allen7200qbk,40387-53095,QB,k,Kyle Allen,allen,12.902857099260602,7,7200,ATL@CAR,CAR,ATL,,,,,,ryland,ryland,kyle,allen7200qbk
allen7800qbj,87.2,Joshua Allen,7800,BUF,@MIA,,,19.4,29.0,11.3,2.63,2.5,10.5,33.84,16.77,-1.0,0.75,1.0,4.2,2.0,0.0,0.65,0.8,66.0,24.3,17.3,1.5,-7.0,41.5,57.0,17.0,31.0,210.0,56.0,6.8,5.55,1.2,40.0,15.3,62.6,15.3,3.9,2.9,5.8,8.0,17.0,50.0,6.2,0.7,0.612,4.87,1.93,1.0,69.0,0.65,0.0,20.4,100,0.52,0.33,100.0,0.75,0.0,40.0,21.6,4.5,1800.0,0.53,0.33,78.0,0.63,0.0,19.0,QB,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,joshua allen,j,allen7800qbj,40387-62239,QB,j,Josh Allen,allen,19.028888278537327,9,7800,BUF@MIA,BUF,MIA,,,,,,ryland,ryland,josh,allen7800qbj
amendola5400wrd,54.21,Danny Amendola,5400,DET,DAL,,,6.3,12.7,0.5,0.06,1.2,0.5,6.7,6.24,-7.0,0.76,0.0,0.0,1.0,0.0,0.5,-1.4,36.0,19.5,27.0,-0.3,7.5,46.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.2,0.07,0.0,0.0,0.0,9.3,700,1.17,0.19,75.0,0.5,0.25,40.0,5.4,0.5,-600.0,1.01,0.15,47.0,0.15,0.31,19.0,WR,11,0.0,0.0,0.0,0.0,5.0,3.0,40.0,18.0,11.1,0.1,6.5,0.0,0.0,0.177,0.042,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amendola,danny amendola,d,amendola5400wrd,40387-8117,WR,d,Danny Amendola,amendola,8.0,8,5400,DAL@DET,DET,DAL,,,,,,ryland,ryland,danny,amendola5400wrd
anderson5400wrr,74.65,Robby Anderson,5400,NYJ,@WAS,,,7.0,12.3,0.1,0.76,1.3,3.0,7.1,6.24,-21.0,0.56,0.0,0.3,2.0,0.0,0.94,1.4,55.0,18.3,19.3,0.0,1.0,37.5,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.27,41.0,0.61,0.0,3.0,-700,0.58,0.05,20.0,0.0,0.8,50.0,8.6,1.2,-600.0,1.35,0.16,38.0,0.23,0.42,21.0,WR,11,0.0,0.0,0.0,0.0,6.0,3.0,50.0,23.0,14.3,0.3,6.7,0.2,0.0,0.22699999999999998,0.28600000000000003,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anderson,robby anderson,r,anderson5400wrr,40387-26251,WR,r,Robby Anderson,anderson,5.922222137451173,9,5400,NYJ@WAS,NYJ,WAS,,,,,,ryland,ryland,robby,anderson5400wrr
andrews6900tem,75.68,Mark Andrews,6900,BAL,HOU,,,9.5,12.9,0.7,0.12,1.4,14.5,15.5,9.38,-3.0,0.24,0.86,8.3,7.0,0.0,0.68,-0.7,30.0,27.5,23.5,0.2,-4.0,51.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.31,0.13,41.0,0.6,0.0,9.4,200,1.49,0.35,66.0,0.33,0.33,30.0,9.2,2.4,900.0,1.77,0.31,68.0,0.36,0.13,22.0,TE,11,0.0,0.0,0.0,0.0,5.0,3.0,51.0,27.0,14.6,0.4,10.3,0.4,0.0,0.212,0.28600000000000003,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,andrews,mark andrews,m,andrews6900tem,40387-52436,TE,m,Mark Andrews,andrews,11.366667005750868,9,6900,HOU@BAL,BAL,HOU,,,,,,ryland,ryland,mark,andrews6900tem
arcega-whiteside4500wrj,42.59,J. Arcega-Whiteside,4500,PHI,NE,,,3.0,6.7,0.0,-1.19,0.7,0.5,3.4,4.19,-28.0,0.34,0.0,0.3,0.0,0.0,0.4,-0.8,19.0,20.3,24.8,-0.7,4.5,45.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.65,0.05,0.0,0,0.0,0.0,0.0,0.0,1.0,30.0,0.2,-1.6,-1500.0,0.31,0.01,7.0,0.0,0.64,14.0,WR,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,70.0,0.0,0.5,0.0,0.0,0.023,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,arcega-whiteside,j. arcega-whiteside,j,arcega-whiteside4500wrj,40387-64907,WR,j,JJ Arcega-Whiteside,arcega-whiteside,1.2000000476837158,2,4500,NE@PHI,PHI,NE,,,,,,ryland,ryland,jj,arcega-whiteside4500wrj
arizona3500,72.18,Arizona,3500,ARI,@SF,,,7.0,13.2,0.6,2.93,2.0,3.0,5.0,4.07,-11.0,0.28,0.0,0.0,2.0,0.0,0.11,1.7,0.0,17.0,27.0,0.0,10.0,44.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,7.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.46,0.0,6.0,-200,0.0,0.0,75.0,0.5,0.25,40.0,4.9,0.4,-2500.0,0.0,0.0,83.0,0.27,0.16,18.0,DEF,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.5508,0.5241,0.004699999999999999,0.0487,7.51,9.88,4.88,30.0,0.2262,arizona,arizona,a,arizona3500,40387-12546,D,a,Arizona Cardinals,cardinals,4.0,10,3500,ARI@SF,ARI,SF,,,,,,Cardinals,Cardinals,arizona,arizona3500
armstead4500rbr,49.98,Ryquell Armstead,4500,JAX,@IND,,,3.2,6.9,0.1,-1.73,0.7,0.5,2.9,4.93,-23.0,0.33,0.0,0.0,0.0,0.0,0.94,-2.1,8.0,19.5,22.0,-1.0,2.5,41.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,0.0,0.25,0.67,0.33,0.11,0.0,0.0,0.0,3.3,0,0.67,0.33,33.0,0.33,0.66,30.0,2.6,-1.7,-1500.0,0.63,0.32,15.0,0.15,0.53,13.0,RB,11,0.0,0.061,0.121,2.0,1.0,1.0,11.0,6.0,11.3,0.1,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,armstead,ryquell armstead,r,armstead4500rbr,40387-64786,RB,r,Ryquell Armstead,armstead,3.328571319580078,7,4500,JAC@IND,JAC,IND,,,,,,ryland,ryland,ryquell,armstead4500rbr
atlanta3500,68.81,Atlanta,3500,ATL,@CAR,,,6.9,13.8,1.1,2.83,2.0,0.5,26.0,4.07,-7.0,0.57,0.0,0.0,1.0,0.0,0.81,1.0,0.0,22.8,26.3,0.8,3.5,49.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.61,0.0,3.7,300,0.0,0.0,66.0,0.33,0.33,30.0,4.6,0.7,-2500.0,0.0,0.0,65.0,0.25,0.35,20.0,DEF,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.5373,0.5249,0.0091,0.0461,7.6,10.06,5.13,3.46,0.2112,atlanta,atlanta,a,atlanta3500,40387-12525,D,a,Atlanta Falcons,falcons,2.1111111111111107,9,3500,ATL@CAR,ATL,CAR,,,,,,Falcons,Falcons,atlanta,atlanta3500
austin4500wrt,43.25,Tavon Austin,4500,DAL,@DET,,,2.2,4.2,0.0,-1.99,0.5,0.5,0.0,4.19,-48.0,0.18,0.0,0.0,1.0,0.0,0.5,0.7,22.0,27.0,19.5,0.2,-7.5,46.5,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.0,0.0,0.0,0.0,4.2,0,4.18,0.32,50.0,0.5,0.5,40.0,1.8,0.0,-1500.0,0.84,0.08,30.0,0.13,0.52,23.0,WR,11,0.0,0.0,0.0,0.0,1.0,1.0,12.0,7.0,11.1,0.0,50.0,0.0,0.0,0.045,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,austin,tavon austin,t,austin4500wrt,40387-26458,WR,t,Tavon Austin,austin,3.3428570883614674,7,4500,DAL@DET,DAL,DET,,,,,,ryland,ryland,tavon,austin4500wrt
ballage5300rbk,66.08,Kalen Ballage,5300,MIA,BUF,,,9.1,18.9,4.1,2.17,1.7,0.5,10.2,6.93,4.0,0.97,0.89,2.5,4.0,0.0,0.54,1.1,17.0,17.3,24.3,1.0,7.0,41.5,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,3.4,0.2,0.379,1.33,0.73,0.4,69.0,0.65,0.0,4.0,700,0.41,0.18,100.0,0.4,0.0,50.0,3.9,-1.6,-700.0,0.5,0.23,45.0,0.15,0.35,20.0,RB,11,0.5,0.27699999999999997,0.28800000000000003,6.0,1.0,1.0,5.0,5.0,5.4,0.0,2.7,0.133,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ballage,kalen ballage,k,ballage5300rbk,40387-52371,RB,k,Kalen Ballage,ballage,3.5,9,5300,BUF@MIA,MIA,BUF,,,,,,ryland,ryland,kalen,ballage5300rbk
baltimore4300,66.12,Baltimore,4300,BAL,HOU,,,7.0,14.7,1.3,0.36,1.6,6.5,15.0,6.64,-3.0,0.41,0.0,0.0,1.0,0.0,0.69,0.9,0.0,27.5,23.5,0.2,-4.0,51.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.6,0.0,17.0,300,0.0,0.0,100.0,1.0,0.0,40.0,10.0,2.3,-1700.0,0.0,0.0,83.0,0.45,0.16,24.0,DEF,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.44670000000000004,0.5031,0.0167,0.04190000000000001,6.87,90.0,3.94,2.71,0.18059999999999998,baltimore,baltimore,b,baltimore4300,40387-12555,D,b,Baltimore Ravens,ravens,9.333333333333334,9,4300,HOU@BAL,BAL,HOU,,,,,,Ravens,Ravens,baltimore,baltimore4300
