,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,sr2,buzz2,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
arnold4600ted,71.8,Dan Arnold,4600,ARI,LA,,,3.68,5.3,2.1,-0.32,0.8,0.5,19.1,4,-10,0.45,0,0,2,0,0.22,-1.8,28,23.3,25.8,-0.5,2.5,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.13,0.06,0,0,0,4.7,300,1.88,0.18,100,0.4,0,50,4.8,1.3,400,1.94,0.17,82,0.29,0.05,17,TE,1420,,,0,0,0,0,2,1,23,15,13.6,0.2,8.5,0.333,0,0.077,0.13,0.093,0,0,0,0,0,0,0,0,0,0,arnold,dan arnold,d,arnold4600ted,,,TE,,,,,,,,,,,,,,,,,
atlanta3500,30.46,Atlanta,3500,ATL,NO,,,5.7,12.5,-1.1,1.63,1.6,10.5,4,4.07,-14,0.05,0,0,1,0,0.62,-1.8,0,21.8,24.3,-0.5,2.5,46,51,0,0,0,0,0,0,0,0,0,0,0,0,2.2,5.87,0,0,0,0,0,0,0,0,0,0,0,0,12,200,0,0,100,0.66,0,30,6.5,2.1,-100,0,0,76,0.58,0.23,17,DEF,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5009,0.4929,0.0135,0.0469,7.8,8.93,6.14,3.85,0.2313,atlanta,atlanta,a,atlanta3500,52276-12525:Atlanta Falcons,52276-12525,D,,a,Atlanta Falcons,falcons,5.166666667,12,3500,ATL@LAC,ATL,LAC,,,,Falcons,Falcons,atlanta,atlanta3500
ballage5100rbk,47.7,Kalen Ballage,5100,LAC,NE,,,3.1,4.2,2,-3.33,0.6,0.5,5.4,6.43,-22,0.25,0,0,3,0,0.44,1.3,31,24.8,22.3,-0.5,-2.5,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,3.4,0,0.541,1.31,0.38,0.15,0,0,0,11.7,600,0.48,0.23,50,0.5,0,40,6.3,0.3,400,0.51,0.2,31,0.18,0.06,16,RB,1420, ,,0,0.251,0.455,7,5,4,25,12,6.1,0,0,0,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,ballage,kalen ballage,k,ballage5100rbk,,,RB,,,,,,,,,,,,,,,,,
beebe5300wrc,46.7,Chad Beebe,5300,MIN,JAX,,,3.04,4.4,1.7,-2.97,0.6,0.5,2,6.01,-33,0.27,0,0,1,0,0.05,3,21,30.8,20.3,1,-10.5,51,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.07,0,0,0,0,8.2,800,3.64,0.37,50,0.25,0,40,3.9,0.1,800,1.86,0.19,29,0.05,0,17,WR,1420,,,0,0,0,0,2,1,14,7,90,0.1,0,0.25,0,0.074,0.048,0.053,0,0,0,0,0,0,0,0,0,0,beebe,chad beebe,c,beebe5300wrc,,,WR,,,,,,,,,,,,,,,,,
bernard5800rbg,86.35,Giovani Bernard,5800,CIN,@MIA,,,10.19,14,6.3,2.01,1.8,3,3.9,8.18,-3,0.72,1,0.2,5,0,0.7,-1,32,16.3,26.8,0.5,10.5,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3.4,0.1,0.506,1.73,0.93,0.4,81,0.67,0.02,6.7,-400,0.5,0.17,100,0,0,30,6.7,0.3,1000,0.76,0.21,87,0.25,0.12,16,RB,1420,100%,0.2,0.154,0.171,0.456,5,3,2,20,12,7.9,0.1,4.8,0.125,0.563,0,0,0,0,0,0,0,0,0,0,0,0,0,bernard,giovani bernard,g,bernard5800rbg,,,RB,,,,,,,,,,,,,,,,,
blake4600wrc,51.05,Christian Blake,4600,ATL,NO,,,2.4,3.6,1.2,-2.02,0.5,0.5,0,4.42,-38,0.21,0,0,0,0,0.16,0.9,26,21.8,24.3,-0.5,2.5,46,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,3.5,-200,1.32,0.11,100,0,0,30,2.4,-1,100,1.8,0.09,38,0.11,0.27,18,WR,1420,,,0,0,0,0,1,0,9,6,11.8,0,0,0,0,0.035,0,0.032,0,0,0,0,0,0,0,0,0,0,blake,christian blake,c,blake4600wrc,52276-56580:Christian Blake,52276-56580,WR,,c,Christian Blake,blake,2.885714395,7,4600,ATL@LAC,ATL,LAC,,,,ryland,ryland,christian,blake4600wrc
booker6000rbd,94.05,Devontae Booker,6000,LV,@NYJ,,,12.7,16.7,8.7,4.03,2.1,18.5,5.6,8.67,-3,0.72,0.76,3.8,5,0,0.87,-0.9,10,27.8,20.3,0,-7.5,48,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,5.5,0.2,0.517,0.8,0.27,0.07,38,0.55,0.02,9.3,1100,0.93,0.49,50,0.5,0.5,40,4.7,-0.3,1400,0.89,0.47,56,0.25,0.37,16,RB,1420,76%,3.8,0.188,0.191,0.165,4,1,1,7,5,6.7,0,5.4,0.111,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,booker,devontae booker,d,booker6000rbd,,,RB,,,,,,,,,,,,,,,,,
boone4600rbm,52.35,Mike Boone,4600,MIN,JAX,,,2.51,3.4,1.6,-2.67,0.5,0.5,0,5.18,-24,0.22,0,0,6,0,0.7,-0.1,13,30.8,20.3,1,-10.5,51,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43,5.4,0.5,0.531,0.87,0.6,0.27,0,0,0,0,0,0,0,0,0,0,40,5.2,0.6,0,0.58,0.4,30,0.1,0.2,20,RB,1420, ,,0.6,0.365,0.216,8,0,0,3,3,5.8,0,2.3,0.25,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,boone,mike boone,m,boone4600rbm,,,RB,,,,,,,,,,,,,,,,,
bowden4500wrl,51.75,Lynn Bowden,4500,MIA,CIN,,,2.26,3.3,1.2,-1.93,0.5,0.5,7.2,4.19,-38,0.21,0,0,0,0,0.49,4,9,26.8,16.3,0,-10.5,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,81,0.67,0.02,0,0,0,0,0,0,0,40,0.4,0,-100,0.36,0.05,0,0,0.27,11,WR,1420,,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0.011,0,-0.001,0,0,0,0,0,0,0,0,0,0,bowden,lynn bowden,l,bowden4500wrl,,,WR,,,,,,,,,,,,,,,,,
boyd6600wrt,71.6,Tyler Boyd,6600,CIN,@MIA,,,9.4,12.9,5.9,0.42,1.4,3,13.7,8.98,-7,0.66,0.4,0.9,1,0,0.03,0.4,57,16.3,26.8,0.5,10.5,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.53,0.33,81,0.67,0.02,7.7,-100,0.92,0.16,66,0.33,0.33,30,12.2,3.9,500,1.24,0.21,86,0.46,0.13,15,WR,1420,,,0,0,0,0,8,6,67,18,10.8,0.3,8.3,0.235,0,0.223,0.25,0.26,0,0,0,0,0,0,0,0,0,0,boyd,tyler boyd,t,boyd6600wrt,,,WR,,,,,,,,,,,,,,,,,
