RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,leverage,buzz,sr,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
hurts8600qbj,93.76,Jalen Hurts,8600,PHI,@ARI,,,24.32,35.7,13.0,2.38,2.8,17.0,21.94,27.66,0.0,0.76,10.0,1.0,2.0,0.0,0.92,1.4,66.0,27.0,21.5,3.7,-5.5,48.5,58.0,16.0,27.0,206.0,61.0,7.6,6.62,0.9,36.0,122.2,256.3,16.6,43.7,20.2,3.3,2.2,5.9,10.0,16.0,50.0,4.8,0.9,0.5660000000000001,5.83,3.28,2.11,0.0,0.0,0.0,29.7,600,0.64,0.4,100.0,0.92,0.0,13.0,24.8,4.6,2600.0,0.62,0.38,80.0,0.65,0.05,35.0,QB,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hurts,jalen hurts,j,hurts8600qbj
allen9000qbj,93.58,Josh Allen,9000,BUF,PIT,,,25.58,36.2,14.9,2.86,2.8,18.5,22.72,36.16,0.0,0.76,7.8,1.0,2.0,0.0,0.78,2.4,67.0,29.5,15.5,1.2,-14.0,45.0,46.0,24.0,38.0,269.0,64.0,7.0,6.61,2.2,32.0,161.5,323.2,13.5,58.8,10.2,5.8,2.4,4.3,7.0,18.0,48.0,6.4,0.4,0.625,9.35,4.35,2.47,57.0,0.68,0.0,28.1,0,0.52,0.41,100.0,1.0,0.0,10.0,26.7,5.8,3000.0,0.56,0.4,86.0,0.79,0.03,29.0,QB,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,josh allen,j,allen9000qbj
fields6600qbj,75.11,Justin Fields,6600,CHI,@MIN,,,14.94,23.9,6.0,-3.07,2.3,0.4,18.01,17.02,9.0,0.99,0.7,0.5,2.0,0.0,0.64,6.9,59.0,17.8,26.3,-0.7,8.5,44.0,40.0,14.0,23.0,166.0,58.0,7.0,4.49,0.8,33.0,101.3,240.8,15.1,44.9,23.2,3.5,4.3,12.5,7.0,15.0,42.0,5.8,0.2,0.483,2.94,1.0,0.29,0.0,0.0,0.0,9.8,-300,0.33,0.17,87.0,0.5,0.12,80.0,12.5,-2.1,600.0,0.36,0.21,64.0,0.44,0.16,25.0,QB,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fields,justin fields,j,fields6600qbj
bridgewater6400qbt,73.50,Teddy Bridgewater,6400,MIA,@NYJ,,,17.4,27.8,7.0,-0.22,2.7,12.3,17.62,0.0,-4.0,0.4,7.0,1.0,1.0,0.0,0.75,1.2,54.0,25.0,21.5,1.5,-3.5,46.5,59.0,18.0,28.0,196.0,64.0,6.9,5.87,1.2,36.0,105.7,218.8,17.9,46.8,22.6,4.3,2.5,6.4,1.0,4.0,5.0,3.7,0.2,0.737,3.11,1.5,0.67,61.0,0.49,0.0,11.8,200,0.88,0.56,14.0,0.0,0.0,70.0,13.1,-1.7,400.0,0.41,0.24,50.0,0.16,0.08,24.0,QB,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bridgewater,teddy bridgewater,t,bridgewater6400qbt
murray8100qbk,72.49,Kyler Murray,8100,ARI,PHI,,,19.18,27.9,10.4,-1.78,2.4,5.1,20.96,17.2,0.0,0.76,2.6,0.71,1.0,0.0,0.79,-6.9,69.0,21.5,27.0,-3.8,5.5,48.5,42.0,24.0,37.0,250.0,66.0,6.7,5.93,1.4,34.0,132.9,288.1,15.0,48.7,15.4,3.8,1.6,5.4,6.0,13.0,28.0,4.6,0.3,0.461,6.06,2.82,1.47,0.0,0.0,0.0,21.2,-100,0.42,0.28,100.0,0.87,0.0,80.0,19.7,0.5,2100.0,0.43,0.29,68.0,0.48,0.08,25.0,QB,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,murray,kyler murray,k,murray8100qbk
herbert8200qbj,71.76,Justin Herbert,8200,LAC,@CLE,,,19.1,30.0,8.2,-2.05,2.3,4.3,21.15,14.42,4.0,0.94,4.1,1.0,1.0,0.0,0.73,0.5,68.0,24.0,22.5,-0.8,-1.5,46.5,45.0,25.0,39.0,299.0,65.0,7.5,7.29,2.2,43.0,155.6,308.5,17.7,48.7,18.2,5.6,2.1,3.9,3.0,8.0,16.0,4.7,0.2,0.5760000000000001,7.35,3.65,2.29,62.0,0.38,0.0,19.5,-200,0.43,0.29,100.0,0.83,0.0,60.0,22.7,2.9,2200.0,0.51,0.33,86.0,0.6,0.0,23.0,QB,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,herbert,justin herbert,j,herbert8200qbj
brady7800qbt,71.56,Tom Brady,7800,TB,ATL,,,20.46,32.7,8.3,0.09,2.6,10.6,20.37,19.74,1.0,0.83,10.0,1.0,1.0,0.0,0.4,6.0,65.0,28.3,18.3,-0.5,-10.0,46.5,69.0,27.0,40.0,295.0,68.0,7.3,7.41,2.3,40.0,152.7,316.9,15.9,49.0,20.1,5.8,1.5,3.1,1.0,3.0,3.0,2.1,0.1,0.423,7.29,4.0,2.06,84.0,0.57,0.0,15.0,0,0.36,0.23,87.0,0.5,0.12,80.0,18.5,0.5,1800.0,0.43,0.29,82.0,0.46,0.1,28.0,QB,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brady,tom brady,t,brady7800qbt
cousins7100qbk,70.62,Kirk Cousins,7100,MIN,CHI,,,17.88,28.9,6.8,-1.11,2.5,5.3,18.99,23.24,0.0,0.76,1.9,0.8,1.0,0.0,0.78,2.2,66.0,26.3,17.8,1.8,-8.5,44.0,60.0,22.0,35.0,258.0,64.0,7.4,6.98,1.9,39.0,151.6,302.4,15.7,51.9,14.4,5.4,1.7,4.9,1.0,5.0,6.0,3.6,0.1,0.519,5.94,2.88,1.24,0.0,0.0,0.0,14.1,-200,0.34,0.21,100.0,0.3,0.0,10.0,16.3,-2.5,1100.0,0.42,0.25,85.0,0.33,0.03,27.0,QB,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cousins,kirk cousins,k,cousins7100qbk
tannehill6900qbr,69.92,Ryan Tannehill,6900,TEN,@WAS,,,15.14,23.8,6.5,-3.46,2.2,0.7,18.6,11.54,5.0,0.96,2.2,1.0,1.0,0.0,0.73,8.8,62.0,22.0,21.0,0.5,-1.0,43.0,65.0,19.0,28.0,203.0,68.0,7.2,5.86,1.2,33.0,105.8,206.4,15.4,53.4,18.5,4.3,2.9,7.3,3.0,7.0,10.0,3.4,0.4,0.585,5.24,2.59,1.59,61.0,0.45,0.0,8.5,-200,0.28,0.16,38.0,0.38,0.61,13.0,12.3,-5.3,900.0,0.37,0.2,60.0,0.3,0.3,30.0,QB,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tannehill,ryan tannehill,r,tannehill6900qbr
wentz6800qbc,67.08,Carson Wentz,6800,WAS,TEN,,,15.7,23.6,7.8,-2.7,2.3,1.1,18.4,22.86,0.0,0.76,4.1,0.91,1.0,0.0,0.73,5.9,66.0,21.0,22.0,-0.5,1.0,43.0,35.0,20.0,32.0,216.0,62.0,6.7,6.15,1.8,40.0,120.1,285.7,18.5,46.5,16.5,5.6,1.9,6.7,3.0,9.0,12.0,3.8,0.1,0.473,5.24,2.24,1.47,61.0,0.45,0.0,19.0,0,0.38,0.25,87.0,0.75,0.12,80.0,16.0,-0.4,800.0,0.42,0.24,76.0,0.52,0.2,25.0,QB,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wentz,carson wentz,c,wentz6800qbc
