,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,buzz,sr,leverage,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
andrews7500tem,67.63,Mark Andrews,7500,BAL,@HOU,,,11.25,15.2,7.3,0.47,1.5,14.5,10.78,3.4,-1,7.6,1,0.81,8,0,0.65,-0.1,31,28.5,21,-1.3,-7.5,49.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.53,0.2,0,0,0,20.3,100,3.38,0.48,100,1,0,10,9.9,1.2,100,1.6,0.32,72,0.33,0.27,18,TE,220,0,0,0,0,6,3,49,26,13,0.7,8.3,0.5,0,0.236,0.313,0.239,0,0,0,0,0,0,0,0,0,0,andrews,mark andrews,m,andrews7500tem,49877-52436:Mark Andrews,49877-52436,TE,m,Mark Andrews,andrews,20.29999924,1,7500,BAL@HOU,BAL,HOU,,,,ryland,ryland,mark,andrews7500tem
arizona3600,77,Arizona,3600,ARI,WAS,,,8,16.3,-0.3,3.61,2.2,14.5,4.39,7,-3,0,0,0.51,4,0,0.79,-3.6,0,27,19.5,0.7,-7.5,46.5,66,0,0,0,0,0,0,0,0,0,0,0,0,1.27,6.88,0,0,0,0,0,0,0,0,0,0,0,0,6,300,0,0,100,1,0,10,4.3,-0.9,300,0,0,73,0.46,0.26,15,DEF,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.538,0.4586,0.0074,0.0463,7.94,11.6,5.8,3.31,0.2011,arizona,arizona,a,arizona3600,49877-12546:Arizona Cardinals,49877-12546,D,a,Arizona Cardinals,cardinals,6,1,3600,WAS@ARI,ARI,WAS,,,,Cardinals,Cardinals,arizona,arizona3600
arnold4400ted,85.96,Dan Arnold,4400,ARI,WAS,,,5.86,8.2,3.5,2.32,1.3,0.5,3.54,3.6,-3,0,0,0.7,3,0,0.67,4.1,25,27,19.5,0.7,-7.5,46.5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.06,0,0,0,0,3.1,0,1.55,0.07,100,0,0,20,2.9,0.8,0,1.09,0.12,37,0.12,0.37,16,TE,220,0,0,0,0,2,1,24,15,14.8,0.3,6.7,0.333,0,0.078,0.2,0.092,0,0,0,0,0,0,0,0,0,0,arnold,dan arnold,d,arnold4400ted,49877-80546:Dan Arnold,49877-80546,TE,d,Dan Arnold,arnold,3.099999905,1,4400,WAS@ARI,ARI,WAS,,,,ryland,ryland,dan,arnold4400ted
atlanta3300,56.46,Atlanta,3300,ATL,@DAL,,,4.9,10.4,-0.6,1.47,1.5,0.5,3.43,3,-7,0,0,0.3,1,0,0.78,-3.9,0,25,28,2.5,3,53,44,0,0,0,0,0,0,0,0,0,0,0,0,1.95,5.26,0,0,0,0,0,0,0,0,0,0,0,0,-1,-300,0,0,0,0,1,10,5.2,-0.8,-300,0,0,56,0.37,0.43,16,DEF,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.538,0.5026,0.0113,0.0458,80,9.53,5.71,3.77,0.2168,atlanta,atlanta,a,atlanta3300,49877-12525:Atlanta Falcons,49877-12525,D,a,Atlanta Falcons,falcons,-1,1,3300,ATL@DAL,ATL,DAL,,,,Falcons,Falcons,atlanta,atlanta3300
baltimore4700,30.41,Baltimore,4700,BAL,@HOU,,,6.4,13.5,-0.7,-1.53,1.4,10.5,7.93,15,-10,0,0,0.16,3,0,0.53,-0.2,0,28.5,21,-1.3,-7.5,49.5,74,0,0,0,0,0,0,0,0,0,0,0,0,2.35,6.26,0,0,0,0,0,0,0,0,0,0,0,0,15,-100,0,0,100,1,0,10,9.9,1.5,-100,0,0,85,0.65,0.15,20,DEF,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4384,0.474,0.0141,0.0373,6.3,8.93,4.33,2.91,0.16,baltimore,baltimore,b,baltimore4700,49877-12555:Baltimore Ravens,49877-12555,D,b,Baltimore Ravens,ravens,15,1,4700,BAL@HOU,BAL,HOU,,,,Ravens,Ravens,baltimore,baltimore4700
barber5400rbp,63.66,Peyton Barber,5400,WAS,@ARI,,,6.28,8.4,4.2,-0.9,1.2,0.5,7.18,0.1,-13,0.4,1,0.43,0,0,0.55,0.5,20,19.5,27,0.2,7.5,46.5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,2.7,0.5,0.393,2,1.47,1.07,0,0,0,14.9,500,0.88,0.51,100,1,0,20,6.9,-0.6,700,0.65,0.34,64,0.29,0.35,17,RB,220,0.438,0.278,0.282,9,1,0,6,4,7.4,0.1,30,0.25,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,barber,peyton barber,p,barber5400rbp,49877-40857:Peyton Barber,49877-40857,RB,p,Peyton Barber,barber,14.89999962,1,5400,WAS@ARI,WAS,ARI,,,,ryland,ryland,peyton,barber5400rbp
barkley9000rbs,76.31,Saquon Barkley,9000,NYG,@CHI,,,15.75,20.3,11.2,-0.41,1.8,6.5,16.16,2.8,6,3.5,0.81,0.95,8,0,0.66,1.4,56,19,23.5,1,4.5,42.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,65,3.9,0.4,0.399,2.53,1.33,0.67,67,0.41,0.01,9.6,0,0.4,0.16,0,0,1,10,11.8,0,0,0.52,0.21,44,0.16,0.55,18,RB,220,0.625,0.678,0.841,16,5,4,37,24,8.8,0.2,6.3,0.103,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,barkley,saquon barkley,s,barkley9000rbs,49877-64401:Saquon Barkley,49877-64401,RB,s,Saquon Barkley,barkley,9.600000381,1,9000,NYG@CHI,NYG,CHI,,,,ryland,ryland,saquon,barkley9000rbs
beasley5400wrc,61.23,Cole Beasley,5400,BUF,@MIA,,,6.5,9.3,3.7,0.26,1.2,0.5,6.24,9.5,-17,0,0,0.48,1,0,0.61,2.2,51,24,18.5,0.7,-5.5,42.5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.33,0.2,89,0.7,0.11,7.8,0,1.11,0.14,100,0,0,10,9.3,2.3,0,1.32,0.18,84,0.42,0.15,19,WR,220,0,0,0,0,7,4,50,17,11.5,0.4,7.2,0.5,0,0.23,0.286,0.234,0,0,0,0,0,0,0,0,0,0,beasley,cole beasley,c,beasley5400wrc,49877-22288:Cole Beasley,49877-22288,WR,c,Cole Beasley,beasley,7.800000191,1,5400,BUF@MIA,BUF,MIA,,,,ryland,ryland,cole,beasley5400wrc
berrios4500wrb,70.84,Braxton Berrios,4500,NYJ,SF,,,5.73,8.1,3.3,1.54,1.3,0.5,4.19,14.9,-26,0,0,0.35,0,0,0.35,1.4,7,17.3,24.3,-1.5,7,41.5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0.25,0.01,0,0,0,0,0,0,0,10,0.9,-0.7,0,0.76,0.13,20,0.06,0.73,15,WR,220,0,0,0,0,1,0,10,9,19.2,0,7.5,0,0,0.039,0,0.047,0,0,0,0,0,0,0,0,0,0,berrios,braxton berrios,b,berrios4500wrb,49877-52495:Braxton Berrios,49877-52495,WR,b,Braxton Berrios,berrios,0.833333333,15,4500,SF@NYJ,NYJ,SF,,,,ryland,ryland,braxton,berrios4500wrb
bourne5500wrk,70.54,Kendrick Bourne,5500,SF,@NYJ,,,7.67,10.8,4.6,1.2,1.4,0.5,6.47,8.7,-7,1,1,0.65,1,0,0.63,2.3,32,24.3,17.3,-0.5,-7,41.5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.44,0.13,62,0.25,0.01,4.4,-200,0.88,0.08,100,0,0,10,60,0.5,-200,2.05,0.19,85,0.4,0.15,20,WR,220,0,0,0,0,2,2,25,15,12.6,0.3,9.1,0.625,0,0.099,0.192,0.099,0,0,0,0,0,0,0,0,0,0,bourne,kendrick bourne,k,bourne5500wrk,49877-80289:Kendrick Bourne,49877-80289,WR,k,Kendrick Bourne,bourne,4.400000095,1,5500,SF@NYJ,SF,NYJ,,,,ryland,ryland,kendrick,bourne5500wrk
