,week,playid,rating,RylandID_master,name,salary,team,opp,Unnamed: 6, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
10,1120,12539,55.13,miami4800,Miami,4800,MIA,@DEN,,,8,14,0,-0.25,1.7,7,5,8.25,-2,0.57,0,0,1,0,0.34,5.3,0,25,21,1.5,-4,46,63,0,0,0,0,0,0,0,0,0,0,0,0,2.69,5.73,0,0,0,0,0,0,0,0,0,47,0.2,0.01,12.3,900,0,0,100,0.66,0,30,7.4,2.1,1300,0,0,93,0.5,0.06,16,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.5161,0.5474,0.0156,0.0485,7.52,10,4.93,2.73,0.24,miami,miami,m,miami4800,51732-12539:Miami Dolphins,51732-12539,D,m,Miami Dolphins,dolphins,9.444444444,9,4800,MIA@DEN,MIA,DEN,,,,Dolphins,Dolphins,miami,miami4800
11,1120,12540,62.2,minnesota4400,Minnesota,4400,MIN,DAL,,,8.1,13.8,-0.2,1.14,1.8,3,4,6.96,2,0.83,0,0,2,0,0.62,4.7,0,28.5,21.5,1,-7,50,58,0,0,0,0,0,0,0,0,0,0,0,0,2.72,6.6,0,0,0,0,0,0,0,0,0,0,0,0,7,1300,0,0,100,0.75,0,40,70,0.7,100,0,0,90,0.66,0.09,21,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5262,0.5693,0.0153,0.037,7.15,11,5.07,2.92,0.1558,minnesota,minnesota,m,minnesota4400,51732-12540:Minnesota Vikings,51732-12540,D,m,Minnesota Vikings,vikings,4,9,4400,DAL@MIN,MIN,DAL,,,,Vikings,Vikings,minnesota,minnesota4400
12,1120,12541,31.56,new england4300,New England,4300,NE,@HOU,,,6.3,13.2,-0.2,-0.34,1.5,7,0,6.64,-3,0.51,0,0,1,0,0.42,-2.3,0,26,23.5,1.2,-2.5,49.5,59,0,0,0,0,0,0,0,0,0,0,0,0,3.82,5.17,0,0,0,0,0,0,0,0,0,0,0,0,3.8,-500,0,0,100,0,0,40,6.3,-2.2,-300,0,0,89,0.36,0.1,19,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.5281,0.4988,0.0198,0.0406,7.96,8.27,4.23,2.4,0.2097,england,new england,n,new england4300,51732-12541:New England Patriots,51732-12541,D,n,New England Patriots,patriots,6.666666667,9,4300,NE@HOU,NE,HOU,,,,England,England,new england,new england4300
13,1120,12542,34.11,new orleans4100,New Orleans,4100,NO,ATL,,,5.9,13.9,-0.1,-0.1,1.4,7,16,6,-1,0.64,0,0,2,0,0.8,-1.4,0,26.5,23,-2.3,-3.5,49.5,43,0,0,0,0,0,0,0,0,0,0,0,0,2.55,8.74,0,0,0,0,0,0,0,0,0,0,0,0,9.8,100,0,0,75,0.75,0.25,40,7.3,-0.5,0,0,0,90,0.42,0.09,21,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.5009,0.4253,0.0157,0.0502,7.18,9.6,4.87,3.71,0.2361,orleans,new orleans,n,new orleans4100,51732-12542:New Orleans Saints,51732-12542,D,n,New Orleans Saints,saints,7,9,4100,ATL@NO,NO,ATL,,,,Orleans,Orleans,new orleans,new orleans4100
14,1120,12544,30.45,ny jets3100,NY Jets,3100,NYJ,@LAC,,,5.1,10.7,-0.5,2.32,1.6,0.5,8,2.78,-3,0.51,0,0,1,0,0.62,0,0,18.5,28.5,-0.3,10,47,48,0,0,0,0,0,0,0,0,0,0,0,0,2.46,3.97,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,0,50,0.5,0,20,6.7,1.4,-800,0,0,87,0.62,0.06,16,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.5236,0.432,0.0138,0.0411,7.36,10,5.33,3.3,0.1786,jets,ny jets,n,ny jets3100,51732-12544:New York Jets,51732-12544,D,n,New York Jets,jets,3,9,3100,NYJ@LAC,NYJ,LAC,,,,York,NY,ny jets,ny jets3100
15,1120,12545,26.79,philadelphia4000,Philadelphia,4000,PHI,@CLE,,,5.7,13,-0.6,0.02,1.4,3,8,5.68,-5,0.4,0,0,1,0,0.53,-0.1,0,21.5,24,-0.5,2.5,45.5,43,0,0,0,0,0,0,0,0,0,0,0,0,1.09,8.73,0,0,0,0,0,0,0,0,0,42,0.87,0.8,12,-600,0,0,100,0.5,0,20,6.1,-1.9,-500,0,0,77,0.44,0.22,18,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4855,0.4286,0.0062,0.0461,7.37,9.13,5.77,4.45,0.2044,philadelphia,philadelphia,p,philadelphia4000,51732-12545:Philadelphia Eagles,51732-12545,D,p,Philadelphia Eagles,eagles,7,9,4000,PHI@CLE,PHI,CLE,,,,Eagles,Eagles,philadelphia,philadelphia4000
16,1120,12547,75.29,pittsburgh5000,Pittsburgh,5000,PIT,@JAX,,,9.8,17.5,0.5,0.91,2,23,17,8.89,0,0.72,0,0,3,0,0.97,2,0,29,18,0.7,-11,47,56,0,0,0,0,0,0,0,0,0,0,0,0,3.62,11.91,0,0,0,0,0,0,0,0,0,72,0.76,0.11,9.3,700,0,0,100,0.5,0,40,9.9,2.1,200,0,0,100,0.68,0,16,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.4362,0.4279,0.0196,0.0344,6.69,8.33,5.17,2.82,0.176,pittsburgh,pittsburgh,p,pittsburgh5000,51732-12547:Pittsburgh Steelers,51732-12547,D,p,Pittsburgh Steelers,steelers,10.33333333,9,5000,PIT@JAC,PIT,JAC,,,,Steelers,Steelers,pittsburgh,pittsburgh5000
17,1120,12548,61.81,la chargers4500,LA Chargers,4500,LAC,NYJ,,,7.7,16,-0.6,0.41,1.7,14.5,9,7.29,0,0.72,0,0,3,0,0.96,2.2,0,28.5,18.5,0.2,-10,47,52,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,75,0,0.25,40,3.5,-2.8,300,0,0,92,0.07,0.07,14,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4732,0.518,0.0085,0.0471,6.76,7.93,4.25,2.11,0.2252,chargers,la chargers,l,la chargers4500,51732-12548:Los Angeles Chargers,51732-12548,D,l,Los Angeles Chargers,chargers,4.222222222,9,4500,NYJ@LAC,LAC,NYJ,,,,Angeles,LA,la chargers,la chargers4500
18,1120,12552,43.71,washington4100,Washington,4100,WAS,CIN,,,6.7,14.9,-0.1,0.7,1.6,7,12,6,0,0.72,0,0,2,0,0.53,-0.3,0,25,23,2.2,-2,48,44,0,0,0,0,0,0,0,0,0,0,0,0,2.45,10.43,0,0,0,0,0,0,0,0,0,57,0.75,0.04,7.3,300,0,0,66,0.33,0.33,30,6.3,1.1,700,0,0,86,0.33,0.13,15,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.4908,0.5058,0.0131,0.0478,7.25,90,4.15,2.08,0.2148,washington,washington,w,washington4100,51732-12552:Washington Football Team,51732-12552,D,w,Washington Football Team,footballteam,5.777777778,9,4100,CIN@WAS,WAS,CIN,,,,Football,Football,washington,washington4100
19,1120,12553,38.96,carolina3500,Carolina,3500,CAR,DET,,,6.3,12.8,-0.8,2.23,1.8,3,17,4.07,-5,0.4,0,0,1,0,0.85,-0.2,0,22,25,-1.5,3,47,41,0,0,0,0,0,0,0,0,0,0,0,0,1.26,4.32,0,0,0,0,0,0,0,0,0,62,0.66,0.04,2.5,300,0,0,100,0,0,40,2.4,-2,100,0,0,75,0.12,0.25,16,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5243,0.545,0.0071,0.0531,7.33,11.75,5.13,3.29,0.2287,carolina,carolina,c,carolina3500,51732-12553:Carolina Panthers,51732-12553,D,c,Carolina Panthers,panthers,3.4,10,3500,DET@CAR,CAR,DET,,,,Panthers,Panthers,carolina,carolina3500
20,1120,12554,14.81,jacksonville3300,Jacksonville,3300,JAX,PIT,,,4.1,9.6,-0.8,0.67,1.2,1,2,3.43,-6,0.34,0,0,1,0,0.53,-4.6,0,18,29,0.2,11,47,44,0,0,0,0,0,0,0,0,0,0,0,0,1.85,4.73,0,0,0,0,0,0,0,0,0,72,0.76,0.11,6.7,0,0,0,100,0.66,0,30,3.8,-1.4,-200,0,0,68,0.37,0.31,16,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.5432,0.5,0.0097,0.0554,8.81,9.67,4.64,3.15,0.2345,jacksonville,jacksonville,j,jacksonville3300,51732-12554:Jacksonville Jaguars,51732-12554,D,j,Jacksonville Jaguars,jaguars,3.666666667,9,3300,PIT@JAC,JAC,PIT,,,,Jaguars,Jaguars,jacksonville,jacksonville3300
21,1120,12555,23.95,baltimore4700,Baltimore,4700,BAL,TEN,,,5.8,13.1,-0.7,-2.13,1.2,3,3,7.93,-4,0.45,0,0,1,0,0.53,-1.1,0,28.3,22.3,0.8,-6,50.5,49,0,0,0,0,0,0,0,0,0,0,0,0,1.56,7.41,0,0,0,0,0,0,0,0,0,54,0.79,0.05,6.3,0,0,0,66,0.33,0.33,30,9.9,1.3,-100,0,0,89,0.68,0.1,19,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4503,0.4438,0.0095,0.0372,6.12,6.47,40,30,0.2371,baltimore,baltimore,b,baltimore4700,51732-12555:Baltimore Ravens,51732-12555,D,b,Baltimore Ravens,ravens,10.55555556,9,4700,TEN@BAL,BAL,TEN,,,,Ravens,Ravens,baltimore,baltimore4700
