,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
adams7900wrd,87.03,Davante Adams,7900,LV,DEN,,,15.47,21.2,9.8,1.33,2,25.3,14.14,0,0.81,1,2.9,7,0,0.95,-2,57,24,21.5,0.2,-2.5,45.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,1,0.71,0,0,0,12.2,-600,1.04,0.19,50,0.5,0.33,60,16,2.1,1900,1.51,0.28,50,0.33,0.29,24,WR,9/28/2022,0,0,0,0,10,7,89,29,12.5,0.8,0,0.364,0,0.304,0.351,0.322,51.2,33.9,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams7900wrd,81077-45889,WR,d,Davante Adams,adams,15,3,7900,DEN@LV,LV,DEN,,,,,,WR/FLEX,ryland,ryland,davante,adams7900wrd
agholor5600wrn,58.19,Nelson Agholor,5600,NE,@GB,,,5.91,8.4,3.4,-2.99,1.1,0.4,8.9,11,0.96,1,0.6,1,0,0.14,1.4,43,15.5,25,-3.3,9.5,40.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,60,0.71,0,9.7,700,2.08,0.25,80,0.6,0.2,50,6.7,-0.9,-400,1.62,0.16,58,0.25,0.25,24,WR,9/28/2022,0,0,0,0,3,2,36,20,14.3,0.2,0,0.167,0,0.135,0.143,0.146,25.7,21.9,0,0,0,0,0,0,0,0,0,0,agholor,nelson agholor,n,agholor5600wrn,81077-29683,WR,n,Nelson Agholor,agholor,8.46666654,3,5600,NE@GB,NE,GB,,,,,,WR/FLEX,ryland,ryland,nelson,agholor5600wrn
akins4500tej,52.55,Jordan Akins,4500,HOU,LAC,,,3.02,4.3,1.7,-2.05,0.7,0,5.07,42,0,0,0,1,0,0.06,-4.7,20,19.8,25.3,0.3,5.5,45,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.17,0.11,0,0,0,10.6,300,2.65,0.62,33,0.33,0,60,4.4,-0.5,-1500,1.65,0.22,30,0.17,0.13,23,TE,9/28/2022,0,0,0,0,2,2,17,10,8.9,0.1,0,0.25,0,0.078,0.083,0.078,11.8,6,0,0,0,0,0,0,0,0,0,0,akins,jordan akins,j,akins4500tej,81077-57338,TE,j,Jordan Akins,akins,10.60000038,1,4500,LAC@HOU,HOU,LAC,,,,,,TE/FLEX,ryland,ryland,jordan,akins4500tej
alie-cox4400tem,67.22,Mo Alie-Cox,4400,IND,TEN,,,3.86,5.5,2.2,-0.98,0.9,0.2,4.84,-3,0.67,0,0,1,0,0.23,0.1,37,23.3,19.8,-0.5,-3.5,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.29,0.24,0,0,0,2,-400,0.73,0.05,100,0,0,40,4.6,-0.6,-1600,1.68,0.13,59,0.09,0.13,22,TE,9/28/2022,0,0,0,0,2,1,19,13,13.1,0.2,0,0.3,0,0.092,0.148,0.09,11.4,10.8,0,0,0,0,0,0,0,0,0,0,alie-cox,mo alie-cox,m,alie-cox4400tem,81077-24533,TE,m,Mo Alie-Cox,alie-cox,2.133333365,3,4400,TEN@IND,IND,TEN,,,,,,TE/FLEX,ryland,ryland,mo,alie-cox4400tem
allen8900qbj,95.59,Josh Allen,8900,BUF,@BAL,,,25.32,35.5,15.1,2.8,2.8,13.5,22.52,1,0.83,1,10,2,0,0.92,13.7,67,27,24,-2.3,-3,51,53,24,38,271,65,7.1,6.66,2.2,33,165.5,323.5,14,62.3,11.5,5.8,2.4,4.3,7,18,46,6.4,0.4,0.626,9.53,4.59,2.41,54,1,0.82,29.4,200,0.56,0.44,100,1,0,90,26.7,5.2,2900,0.57,0.4,85,0.78,0.03,28,QB,9/28/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allen,josh allen,j,allen8900qbj,81077-62239,QB,j,Josh Allen,allen,29.95333354,3,8900,BUF@BAL,BUF,BAL,,,,,,QB,ryland,ryland,josh,allen8900qbj
allgeier4800rbt,66.5,Tyler Allgeier,4800,ATL,CLE,,,4.84,6.5,3.2,-1.34,1,0.5,6.18,-2,0.68,0,0,1,0,0.91,0.2,20,23,24.5,2,1.5,47.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,3.4,0,0.438,1.33,0.67,0,0,0,0,3.2,0,0.37,0.16,75,0,0,40,30,-1,-1200,0.35,0.15,60,0,0.2,50,RB,9/28/2022,0,0.204,0.339,8,0,0,2,2,50,0,0,0,0.25,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allgeier,tyler allgeier,t,allgeier4800rbt,81077-90428,RB,t,Tyler Allgeier,allgeier,3.25,2,4800,CLE@ATL,ATL,CLE,,,,,,RB/FLEX,ryland,ryland,tyler,allgeier4800rbt
anderson5700wrr,69.18,Robbie Anderson,5700,CAR,ARI,,,7.74,11.1,4.4,-1.38,1.4,2.2,9.12,-2,0.81,1,0.6,1,0,0.67,1,57,22.3,21.3,-0.2,-1,43.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.41,0.24,63,0.74,0.12,5.1,400,0.9,0.1,50,0.5,0.5,60,6.5,-0.5,-300,0.93,0.11,52,0.26,0.3,23,WR,9/28/2022,0,0,0,0,6,3,33,16,9.9,0.3,0,0.444,0,0.211,0.357,0.174,23.6,28.2,0,0,0,0,0,0,0,0,0,0,anderson,robbie anderson,r,anderson5700wrr,81077-26251,WR,r,Robbie Anderson,anderson,7.766666412,3,5700,ARI@CAR,CAR,ARI,,,,,,WR/FLEX,ryland,ryland,robbie,anderson5700wrr
andrews8400tem,77.82,Mark Andrews,8400,BAL,BUF,,,12.54,16.9,8.2,-1.64,1.5,18.2,14.18,0,0.86,1,10,7,0,0.74,-2.8,54,24,27,-1.3,3,51,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0.76,0.29,54,1,0.82,20.2,500,1.89,0.4,83,0.83,0.16,60,17.1,5.8,2400,1.71,0.32,70,0.45,0.16,24,TE,9/28/2022,0,0,0,0,9,6,83,25,12.2,0.7,0,0.414,0,0.281,0.429,0.334,58.6,32.7,0,0,0,0,0,0,0,0,0,0,andrews,mark andrews,m,andrews8400tem,81077-52436,TE,m,Mark Andrews,andrews,17.93333308,3,8400,BUF@BAL,BAL,BUF,,,,,,TE/FLEX,ryland,ryland,mark,andrews8400tem
arizona3200,40.93,Arizona,3200,ARI,@CAR,,,6.08,12.6,-0.4,2.27,1.9,11.6,3.81,-15,0.13,0,0,2,0,0.96,-2.7,0,21.3,22.3,-2.7,1,43.5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,5.69,0,0,0,0,0,0,0,0,0,63,0.74,0.12,4.8,-300,0,0,80,0.4,0.2,50,5.8,-0.9,-2800,0,0,82,0.39,0.13,23,D,9/28/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.4,0.5241,0.4758,0.0098,0.0455,7.4,12,6.56,4.46,0.1979,arizona,arizona,a,arizona3200,81077-12546,D,a,Arizona Cardinals,cardinals,3.666666667,3,3200,ARI@CAR,ARI,CAR,,,,,,DEF,Cardinals,Cardinals,arizona,arizona3200
atlanta3400,24.15,Atlanta,3400,ATL,CLE,,,5.46,12.3,-1.4,1.01,1.6,1.7,4.45,-2,0.35,0,0,1,0,0.81,-6.9,0,23,24.5,2,1.5,47.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,3.42,0,0,0,0,0,0,0,0,0,0,0,0,10.5,-200,0,0,100,0.75,0,40,5.5,0.1,-2600,0,0,85,0.5,0.15,20,D,9/28/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.8,0.5223,0.5433,0.0138,0.0457,7.1,12.06,5.31,2.93,0.2195,atlanta,atlanta,a,atlanta3400,81077-12525,D,a,Atlanta Falcons,falcons,8.666666667,3,3400,CLE@ATL,ATL,CLE,,,,,,DEF,Falcons,Falcons,atlanta,atlanta3400
