,rating,name,salary,team,opp,time, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
berrios4800wrb,40.86,Braxton Berrios,4800,NYJ,DET,1,,2.29,3.4,1.2,-4.78,0.5,0.1,7.07,-6,0.61,1,0.4,0,0,0.09,1.3,23,22.3,21.3,-4,-1,43.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.53,0.24,36,0.53,0,2.2,-100,0.89,0.16,60,0,0,50,6.3,-0.3,-1200,1.36,0.27,66,0.28,0.09,21,WR,12/14/2022,0,0,0,0,2,1,14,6,7.8,0.1,0,0.111,0,0.084,0.071,0.064,3.1,4.7,0,0,0,0,0,0,0,0,0,0,berrios,braxton berrios,b,berrios4800wrb,84669-52495,WR,b,Braxton Berrios,berrios,3.375384698,13,4800,DET@NYJ,NYJ,DET,,,,,,WR/FLEX,ryland,ryland,braxton,berrios4800wrb
blackshear5200rbr,53.78,Raheem Blackshear,5200,CAR,PIT,1,,3.15,4.1,2.2,-4.03,0.6,0,7.18,0,0.5,0,0,1,0,0.23,-1.8,9,20.3,17.3,-0.2,-3,37.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3.8,0.3,0.526,0.36,0.29,0.14,43,0.36,0,4,200,1.19,0.44,50,0.5,0.5,40,6.3,-0.4,-800,1.51,0.69,30,0.17,0.17,23,RB,12/14/2022,0.2,0.068,0.148,2,1,1,11,9,10.3,0,0,0.5,0.75,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,blackshear,raheem blackshear,r,blackshear5200rbr,84669-92590,RB,r,Raheem Blackshear,blackshear,3.277777778,9,5200,PIT@CAR,CAR,PIT,,,,,,RB/FLEX,ryland,ryland,raheem,blackshear5200rbr
bourne5000wrk,51.17,Kendrick Bourne,5000,NE,@LV,4,,4.31,6.2,2.4,-3.22,0.9,0.7,7.53,-5,0.63,1,0.4,1,0,0.06,-3.9,30,21.8,23.3,0.8,1.5,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.06,0.06,0,0,0,3.2,-100,1,0.1,80,0.4,0.2,50,5.1,-1.5,-1000,1.44,0.17,50,0.18,0.31,22,WR,12/14/2022,0,0,0,0,3,2,28,17,12.2,0,0,0,0,0.097,0,0.12,17.6,10.2,0,0,0,0,0,0,0,0,0,0,bourne,kendrick bourne,k,bourne5000wrk,84669-80289,WR,k,Kendrick Bourne,bourne,3.34166654,12,5000,NE@LV,NE,LV,,,,,,WR/FLEX,ryland,ryland,kendrick,bourne5000wrk
boyd6400wrt,53.73,Tyler Boyd,6400,CIN,@TB,4,,7.45,10.3,4.6,-3.27,1.2,2,10.72,5,0.89,0,0,2,0,0.24,1,52,24.3,20.8,2,-3.5,45,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.35,0.29,60,0.47,0,5.3,-400,1.24,0.13,60,0.2,0.2,50,9.3,-0.2,400,1.29,0.18,73,0.23,0.07,26,WR,12/14/2022,0,0,0,0,5,3,54,28,15.3,0.4,0,0.375,0,0.145,0.194,0.179,34.1,18.7,0,0,0,0,0,0,0,0,0,0,boyd,tyler boyd,t,boyd6400wrt,84669-40669,WR,t,Tyler Boyd,boyd,8.839999859,13,6400,CIN@TB,CIN,TB,Q,Finger,,,,WR/FLEX,ryland,ryland,tyler,boyd6400wrt
brady6800qbt,64.06,Tom Brady,6800,TB,CIN,4,,17.4,27.9,6.9,-1,2.6,6,18.4,0,0.74,0.57,3,1,0,0.59,-2.9,70,20.8,24.3,0.5,3.5,45,32,28,43,280,65,6.4,6.33,1.4,35,156.5,333.1,4.7,17.6,7.4,3.3,0.9,3.2,1,0,0,0.3,0,0.083,6.53,3.35,1.59,60,0.47,0,16.6,-600,0.31,0.22,100,0.75,0,40,15.5,-3.5,800,0.33,0.22,80,0.32,0.12,25,QB,12/14/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady6800qbt,84669-6498,QB,t,Tom Brady,brady,15.66923053,13,6800,CIN@TB,TB,CIN,,,,,,QB,ryland,ryland,tom,brady6800qbt
brate4400tec,72.69,Cameron Brate,4400,TB,CIN,4,,3.6,5,2.2,-1.24,0.8,0.8,4.84,-3,0.66,0,0,2,0,0.75,-6.5,31,20.8,24.3,0.5,3.5,45,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.29,0.24,60,0.47,0,2.4,-200,0.52,0.08,66,0,0,30,3.4,-1.3,-1600,0.86,0.11,60,0.13,0.04,23,TE,12/14/2022,0,0,0,0,3,2,16,9,7.7,0.2,0,0.286,0,0.099,0.105,0.061,11.3,8.5,0,0,0,0,0,0,0,0,0,0,brate,cameron brate,c,brate4400tec,84669-54782,TE,c,Cameron Brate,brate,2.987499952,8,4400,CIN@TB,TB,CIN,,,,,,TE/FLEX,ryland,ryland,cameron,brate4400tec
brown5200wre,51.15,E. St. Brown,5200,CHI,PHI,1,,4.7,7.1,2.3,-3.28,0.9,1.6,7.98,-12,0.49,0,0,0,0,0.58,-2.5,39,20,28.5,-2.5,8.5,48.5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,22,0.69,0,4.5,300,1.51,0.13,75,0.5,0.25,40,3.2,-2.8,-800,1.08,0.08,45,0.13,0.4,22,WR,12/14/2022,0,0,0,0,2,1,19,13,15.8,0.1,0,0.167,0,0.107,0.045,0.111,16.7,16.6,0,0,0,0,0,0,0,0,0,0,brown,e. st. brown,e,brown5200wre,84669-64841,WR,e,Equanimeous St. Brown,brown,3.684615502,13,5200,PHI@CHI,CHI,PHI,,,,,,WR/FLEX,ryland,ryland,equanimeous,brown5200wre
brown5300wrn,54.45,Noah Brown,5300,DAL,@JAX,1,,5.79,8.3,3.3,-2.42,1.1,0.5,8.21,14,0.97,1,0.4,1,0,0.06,-2,45,26,22,1.5,-4,48,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.18,0.06,53,0.3,0,5.9,200,2.34,0.12,60,0.4,0.2,50,6.2,-0.5,-700,1.68,0.14,36,0.18,0.18,22,WR,12/14/2022,0,0,0,0,3,2,34,17,14.2,0.1,0,0.111,0,0.118,0.04,0.151,31.9,17.9,0,0,0,0,0,0,0,0,0,0,brown,noah brown,n,brown5300wrn,84669-56248,WR,n,Noah Brown,brown,6.309091048,11,5300,DAL@JAC,DAL,JAC,,,,,,WR/FLEX,ryland,ryland,noah,brown5300wrn
brown6800wrm,54.39,Marquise Brown,6800,ARI,@DEN,4,,9.01,12.4,5.6,-2.62,1.3,3,11.63,9,0.93,0,0.4,1,0,0.63,-4.7,66,17.5,19,0,1.5,36.5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29,0.18,39,0.26,0,6,1800,0.74,0.09,60,0,0.2,50,9.6,-1.5,800,0.98,0.15,45,0.16,0.16,24,WR,12/14/2022,0,0,0,0,9,6,58,18,9.6,0.3,0,0.059,0,0.262,0.25,0.254,39.4,37,0,0,0,0,0,0,0,0,0,0,brown,marquise brown,m,brown6800wrm,84669-86687,WR,m,Marquise Brown,brown,12.625,8,6800,ARI@DEN,ARI,DEN,Q,Illness,,,,WR/FLEX,ryland,ryland,marquise,brown6800wrm
brown8200wra,61.28,A.J. Brown,8200,PHI,@CHI,1,,13.13,18.4,7.9,-1.7,1.6,9,14.83,16,0.97,1,4.6,6,0,0.94,-2.2,56,28.5,20,3,-8.5,48.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.53,0.29,22,0.69,0,13.3,-200,1.83,0.21,60,0.4,0.4,50,13.7,0.1,2200,1.5,0.24,50,0.21,0.39,28,WR,12/14/2022,0,0,0,0,8,5,79,30,15.5,0.8,0,0.353,0,0.289,0.414,0.335,53.8,38.1,0,0,0,0,0,0,0,0,0,0,brown,a.j. brown,a,brown8200wra,84669-72846,WR,a,A.J. Brown,brown,14.65384615,13,8200,PHI@CHI,PHI,CHI,,,,,,WR/FLEX,ryland,ryland,a.j.,brown8200wra
