,rating,name,salary,team,opp,time, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
boyd5900wrt,64.05,Tyler Boyd,5900,CIN,CLE,1,,8.43,11.6,5.2,-1.15,1.4,4.1,9.58,8,0.93,0.67,1.6,2,0,0.71,-1.2,55,26,20.5,0.2,-5.5,46.5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.35,0.29,46,0.74,0,5.3,-900,0.98,0.09,75,0.25,0.25,40,9.2,-0.2,-100,1.23,0.17,76,0.23,0.07,26,WR,12/7/2022,0,0,0,0,5,3,57,30,15.2,0.4,0,0.375,0,0.151,0.194,0.186,36.6,19.6,0,0,0,0,0,0,0,0,0,0,boyd,tyler boyd,t,boyd5900wrt,84373-40669,WR,t,Tyler Boyd,boyd,9.576666514,12,5900,CLE@CIN,CIN,CLE,,,,,,WR/FLEX,ryland,ryland,tyler,boyd5900wrt
brady7100qbt,53.05,Tom Brady,7100,TB,@SF,4,,14.64,24.5,4.7,-4.35,2.1,0.7,18.99,7,0.98,0.25,2.5,0,0,0.44,2.9,70,17,20.5,-3.8,3.5,37.5,41,28,43,286,65,6.6,6.57,1.5,36,155.1,333.5,5.7,21.4,9.3,3.5,0.7,3.4,1,1,1,0.8,0.1,0.207,6.88,3.35,1.82,51,0.73,0.62,17.8,100,0.38,0.24,100,0.75,0,40,16.2,-2.8,1100,0.35,0.23,80,0.36,0.12,25,QB,12/7/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady7100qbt,84373-6498,QB,t,Tom Brady,brady,15.96500015,12,7100,TB@SF,TB,SF,,,,,,QB,ryland,ryland,tom,brady7100qbt
brate4500tec,68.04,Cameron Brate,4500,TB,@SF,4,,3.42,4.8,2.1,-1.65,0.8,0.4,5.07,2,0.91,0,0,1,0,0.75,-2.7,30,17,20.5,-3.8,3.5,37.5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.29,0.24,51,0.73,0.62,1.9,0,0.54,0.06,66,0,0,30,3.4,-1.3,-1500,0.86,0.11,60,0.13,0.04,23,TE,12/7/2022,0,0,0,0,3,2,16,9,7.6,0.2,0,0.25,0,0.1,0.1,0.059,11.1,8.1,0,0,0,0,0,0,0,0,0,0,brate,cameron brate,c,brate4500tec,84373-54782,TE,c,Cameron Brate,brate,3.100000109,7,4500,TB@SF,TB,SF,,,,,,TE/FLEX,ryland,ryland,cameron,brate4500tec
breida4900rbm,53.77,Matt Breida,4900,NYG,PHI,1,,2.94,3.9,2,-3.49,0.6,0.1,6.43,3,0.89,0,0,0,0,0.39,-0.1,11,19,26,-2,7,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3.3,0.1,0.5,0.41,0.12,0.12,40,0.88,0.68,4.7,0,1.35,0.34,60,0.4,0.4,50,2.5,-2,-1100,0.75,0.23,21,0.08,0.52,23,RB,12/7/2022,0.056,0.055,0.171,2,0,0,5,5,9.2,0,0,0.143,0.857,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,breida,matt breida,m,breida4900rbm,84373-53303,RB,m,Matt Breida,breida,2.5,12,4900,PHI@NYG,NYG,PHI,,,,,,RB/FLEX,ryland,ryland,matt,breida4900rbm
brown5100wrn,51.48,Noah Brown,5100,DAL,HOU,1,,4.45,6.6,2.3,-3.31,0.9,1.2,7.76,1,0.81,0,0,1,0,0.24,-2.9,45,30.8,13.3,2.8,-17.5,44,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.18,0.06,0,0,0,3.4,-100,1.96,0.07,40,0.2,0.4,50,5.8,-0.6,-900,1.65,0.13,31,0.13,0.18,22,WR,12/7/2022,0,0,0,0,3,2,30,14,13.3,0.1,0,0.125,0,0.114,0.042,0.136,27.5,16.6,0,0,0,0,0,0,0,0,0,0,brown,noah brown,n,brown5100wrn,84373-56248,WR,n,Noah Brown,brown,5.890000153,10,5100,HOU@DAL,DAL,HOU,,,,,,WR/FLEX,ryland,ryland,noah,brown5100wrn
brown8400wra,61.23,A.J. Brown,8400,PHI,@NYG,1,,13.5,18.9,8.1,-1.78,1.6,5.1,15.28,24,0.99,1,2.1,7,0,0.92,-3.3,56,26,19,3.5,-7,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.53,0.29,40,0.88,0.68,10.5,0,1.56,0.18,40,0.4,0.6,50,13.6,0.1,2400,1.47,0.24,46,0.21,0.39,28,WR,12/7/2022,0,0,0,0,8,5,80,29,15.4,0.7,0,0.375,0,0.296,0.407,0.335,53.7,38.6,0,0,0,0,0,0,0,0,0,0,brown,a.j. brown,a,brown8400wra,84373-72846,WR,a,A.J. Brown,brown,14.625,12,8400,PHI@NYG,PHI,NYG,,,,,,WR/FLEX,ryland,ryland,a.j.,brown8400wra
brown8600wra,68.96,Amon-Ra St. Brown,8600,DET,MIN,1,,15.23,20.6,9.9,-0.51,1.8,22.9,15.74,-2,0.72,1,10,8,0,0.73,5.3,51,26.8,24.8,2.3,-2,51.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0.59,0.47,0,0,0,19.3,1700,1.72,0.33,100,0.83,0,60,16.7,5.2,2600,1.6,0.33,73,0.56,0.17,23,WR,12/7/2022,0,0,0,0,9,7,81,25,11.1,0.6,0,0.429,0,0.301,0.417,0.338,43.8,25.6,0,0,0,0,0,0,0,0,0,0,brown,amon-ra st. brown,a,brown8600wra,84373-86997,WR,a,Amon-Ra St. Brown,brown,15.027273,11,8600,MIN@DET,DET,MIN,,,,,,WR/FLEX,ryland,ryland,amonra,brown8600wra
bryant4900teh,48.92,Harrison Bryant,4900,CLE,@CIN,1,,3.03,4.2,1.9,-2.97,0.6,0.6,6,-3,0.66,0,0,1,0,0.04,-4.8,34,20.5,26,-1.8,5.5,46.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.44,0.28,46,0.74,0,5,100,1.43,0.13,100,0.4,0,50,4.7,0.2,-1100,1.89,0.14,65,0.21,0.04,23,TE,12/7/2022,0,0,0,0,2,1,12,7,7.1,0.2,0,0.385,0,0.083,0.211,0.06,9.2,5.7,0,0,0,0,0,0,0,0,0,0,bryant,harrison bryant,h,bryant4900teh,84373-70601,TE,h,Harrison Bryant,bryant,3.729999924,10,4900,CLE@CIN,CLE,CIN,,,,,,TE/FLEX,ryland,ryland,harrison,bryant4900teh
buffalo4800,50.95,Buffalo,4800,BUF,NYJ,1,,8.9,16.8,1,-0.05,1.9,3.8,8.95,6,0.92,0,0,4,0,0.66,-4.2,0,26.5,16.5,-0.5,-10,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,8.9,0,0,0,0,0,0,0,0,0,35,0.98,0.57,5.8,300,0,0,100,0.16,0,60,9.9,1.8,-1200,0,0,87,0.58,0.09,31,D,12/7/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.4,0.4572,0.5097,0.0161,0.0351,6.47,9.5,5.07,2.92,0.1579,buffalo,buffalo,b,buffalo4800,84373-12526,D,b,Buffalo Bills,bills,8.833333333,12,4800,NYJ@BUF,BUF,NYJ,,,,,,DEF,Bills,Bills,buffalo,buffalo4800
burrow8300qbj,65.46,Joe Burrow,8300,CIN,CLE,1,,21.14,30.9,11.4,-0.21,2.5,9.7,21.35,1,0.82,1,6.3,1,0,0.6,-6.8,67,26,20.5,0.2,-5.5,46.5,65,25,36,307,70,8.5,7.92,2.3,45,156.9,282.4,8.1,23.2,7.7,6.4,1.4,7.9,4,9,17,3.7,0.3,0.479,6.35,2.94,1.88,46,0.74,0,26.4,0,0.59,0.38,100,0.75,0,40,23.1,2.8,2300,0.53,0.34,84,0.53,0,26,QB,12/7/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,burrow,joe burrow,j,burrow8300qbj,84373-63336,QB,j,Joe Burrow,burrow,23.51999919,12,8300,CLE@CIN,CIN,CLE,,,,,,QB,ryland,ryland,joe,burrow8300qbj
