,rating,name,salary,team,opp,time, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
abdullah5200rba,61.62,Ameer Abdullah,5200,LV,LAC,4,,3.78,5,2.6,-3.4,0.7,0.2,7.18,-2,0.71,0,0,2,0,0.39,-2.1,19,26,23.5,0.5,-2.5,49.5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3.3,0,0.462,1.13,0.44,0.06,0,0,0,4.7,300,1.11,0.36,100,0.4,0,50,5.4,0.3,-800,0.97,0.28,65,0.2,0.05,20,RB,11/30/2022,0,0.054,0.296,1,3,2,21,11,7.6,0.1,0,0,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,abdullah,ameer abdullah,a,abdullah5200rba,84056-27229,RB,a,Ameer Abdullah,abdullah,2.809090874,11,5200,LAC@LV,LV,LAC,,,,,,RB/FLEX,ryland,ryland,ameer,abdullah5200rba
adams8600wrd,80.19,Davante Adams,8600,LV,LAC,4,,16.96,23.4,10.5,1.22,2,15.6,15.74,5,0.89,1,4.4,7,0,0.95,-2.7,58,26,23.5,0.5,-2.5,49.5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,1,0.69,0,0,0,25,500,1.82,0.38,80,0.8,0.2,50,18.9,3.9,2600,1.68,0.33,63,0.45,0.22,22,WR,11/30/2022,0,0,0,0,11,7,91,28,12.9,10,0,0.286,0,0.316,0.485,0.353,55.9,36.4,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams8600wrd,84056-45889,WR,d,Davante Adams,adams,17.75454573,11,8600,LAC@LV,LV,LAC,,,,,,WR/FLEX,ryland,ryland,davante,adams8600wrd
agnew5300wrj,39.39,Jamal Agnew,5300,JAX,@DET,4,,3.41,4.8,2,-4.8,0.6,0.2,8.21,2,0.84,0,0,1,0,0.04,1.2,8,25.3,26.3,1.5,1,51.5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.18,0.12,0,0,0,7.1,500,2.35,1.01,66,0.33,0,30,4.2,-0.1,-700,1.49,0.52,25,0.1,0.25,20,WR,11/30/2022,0,0,0,0,2,1,13,8,7.9,0.3,0,0.6,0,0.067,0.2,0.054,4.6,5.8,0,0,0,0,0,0,0,0,0,0,agnew,jamal agnew,j,agnew5300wrj,84056-79979,WR,j,Jamal Agnew,agnew,4.477777693,9,5300,JAC@DET,JAC,DET,,,,,,WR/FLEX,ryland,ryland,jamal,agnew5300wrj
aiyuk6700wrb,63.62,Brandon Aiyuk,6700,SF,MIA,4,,10.31,14.4,6.3,-1.09,1.5,3.5,11.4,5,0.89,1,3.3,2,0,0.76,-3,58,24.8,20.8,0,-4,45.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.29,0.12,57,0.79,0.37,12.1,300,1.91,0.2,100,0.5,0,40,11.1,0.8,700,1.69,0.19,75,0.33,0.08,24,WR,11/30/2022,0,0,0,0,6,4,61,24,13.9,0.5,0,0.438,0,0.21,0.296,0.237,37.3,31.2,0,0,0,0,0,0,0,0,0,0,aiyuk,brandon aiyuk,b,aiyuk6700wrb,84056-85798,WR,b,Brandon Aiyuk,aiyuk,11.40000014,11,6700,MIA@SF,SF,MIA,,,,,,WR/FLEX,ryland,ryland,brandon,aiyuk6700wrb
akers6200rbc,55.42,Cam Akers,6200,LA,SEA,4,,5.29,7.1,3.5,-4.38,0.9,1.2,9.67,-7,0.53,0,0.4,0,0,0.11,-1.3,18,17,24,-2.8,7,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,3.1,0.1,0.494,0.83,0.28,0.11,0,0,0,3.7,700,0.43,0.25,60,0.2,0.4,50,50,-1.4,200,0.51,0.28,36,0.12,0.2,25,RB,11/30/2022,0.25,0.358,0.302,8,0,0,2,1,5.6,0,0,0.077,0.385,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,akers,cam akers,c,akers6200rbc,84056-89230,RB,c,Cam Akers,akers,3.800000085,9,6200,SEA@LAR,LAR,SEA,Q,Illness,,,,RB/FLEX,ryland,ryland,cam,akers6200rbc
akins4900tej,59.36,Jordan Akins,4900,HOU,CLE,1,,4.82,6.8,2.8,-1.18,1,0.4,6,6,0.98,0,0,1,0,0.07,-4,17,19.3,27.3,0,8,46.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.11,0.06,0,0,0,6.2,500,1.7,0.21,100,0.75,0,40,5.2,0.5,-1100,2.17,0.3,39,0.21,0.08,23,TE,11/30/2022,0,0,0,0,2,1,25,16,13.8,0.2,0,0.167,0,0.073,0.125,0.114,10.7,5.5,0,0,0,0,0,0,0,0,0,0,akins,jordan akins,j,akins4900tej,84056-57338,TE,j,Jordan Akins,akins,5.611111111,9,4900,CLE@HOU,HOU,CLE,,,,,,TE/FLEX,ryland,ryland,jordan,akins4900tej
allen6200qbk,55.58,Kyle Allen,6200,HOU,CLE,1,,14.54,21.6,7.5,-2.69,2.3,1,17.23,-1,0.62,0,0,1,0,0.68,-6.9,32,19.3,27.3,0,8,46.5,36,12,19,111,65,5.8,3.69,0.7,25,54.7,114.7,1.7,24.1,5.2,3.7,3.7,10.8,2,5,7,3.8,0,0.667,0.37,0.11,0.05,0,0,0,11.8,100,0.25,0.19,25,0,0,40,5.6,-0.2,200,0.24,0.17,11,0,0.07,26,QB,11/30/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allen,kyle allen,k,allen6200qbk,84056-53095,QB,k,Kyle Allen,allen,11.80000019,1,6200,CLE@HOU,HOU,CLE,,,,,,QB,ryland,ryland,kyle,allen6200qbk
allen7700wrk,61.78,Keenan Allen,7700,LAC,@LV,4,,12.34,16.9,7.8,-1.35,1.6,5.3,13.69,10,0.95,1,5.6,2,0,0.64,-3.4,49,23.5,26,-2,2.5,49.5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.53,0.29,0,0,0,11.1,200,1.48,0.22,60,0.2,0,50,9.7,-0.1,1700,1.24,0.2,30,0.08,0.26,23,WR,11/30/2022,0,0,0,0,6,4,51,22,11.3,0.6,0,0.333,0,0.172,0.238,0.176,38.2,22.2,0,0,0,0,0,0,0,0,0,0,allen,keenan allen,k,allen7700wrk,84056-29253,WR,k,Keenan Allen,allen,8.5,4,7700,LAC@LV,LAC,LV,,,,,,WR/FLEX,ryland,ryland,keenan,allen7700wrk
allgeier5900rbt,67.78,Tyler Allgeier,5900,ATL,PIT,1,,6.9,9.2,4.6,-2.03,1.2,0.1,8.93,16,0.98,0,0,4,0,0.09,-1.9,28,22,21,2.2,-1,43,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,4.6,0.1,0.479,1.58,0.58,0.25,0,0,0,5.9,-500,0.57,0.23,66,0.33,0.33,60,6.3,-0.6,-100,0.53,0.23,75,0.31,0.18,16,RB,11/30/2022,0.1,0.321,0.479,11,0,0,7,7,8.7,0.1,0,0.053,0.474,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allgeier,tyler allgeier,t,allgeier5900rbt,84056-90428,RB,t,Tyler Allgeier,allgeier,7.354545593,11,5900,PIT@ATL,ATL,PIT,,,,,,RB/FLEX,ryland,ryland,tyler,allgeier5900rbt
andrews7100tem,82.38,Mark Andrews,7100,BAL,DEN,1,,11,14.8,7.2,-0.14,1.5,10.3,11.14,2,0.91,1,3.8,8,0,0.94,-2.4,54,24.5,15,3.2,-9.5,39.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0.59,0.29,44,0.46,0,9.2,-400,1.23,0.15,20,0.2,0.2,50,13.8,1.5,1100,1.5,0.25,45,0.37,0.29,24,TE,11/30/2022,0,0,0,0,9,6,75,23,12.1,0.6,0,0.36,0,0.288,0.409,0.344,50.4,34.5,0,0,0,0,0,0,0,0,0,0,andrews,mark andrews,m,andrews7100tem,84056-52436,TE,m,Mark Andrews,andrews,11.88000031,10,7100,DEN@BAL,BAL,DEN,,,,,,TE/FLEX,ryland,ryland,mark,andrews7100tem
