,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
abdullah4800rba,59.49,Ameer Abdullah,4800,LV,@DEN,,,3.45,4.5,2.4,-2.73,0.7,0.1,6.18,0.0,0.81,0.0,0.0,1.0,0.0,0.93,0.9,20.0,19.5,22.0,-0.8,2.5,41.5,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.1,0.0,0.462,1.0,0.38,0.06,43.0,0.47,0.0,3.3,200,0.94,0.23,100.0,0.0,0.0,40.0,4.8,-0.6,-1200.0,0.88,0.24,57.0,0.1,0.1,19.0,RB,11/16/22,0.0,0.057999999999999996,0.32,1.0,3.0,2.0,19.0,10.0,7.8,0.1,0.0,0.0,0.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abdullah,ameer abdullah,a,abdullah4800rba,83311-27229,RB,a,Ameer Abdullah,abdullah,1.7666666242811415,9.0,4800,LV@DEN,LV,DEN,,,,,,RB/FLEX,ryland,ryland,ameer,abdullah4800rba
adams8500wrd,61.74,Davante Adams,8500,LV,@DEN,,,14.07,19.5,8.7,-1.44,1.7,8.8,15.51,12.0,0.96,0.83,5.7,7.0,0.0,0.94,-4.0,58.0,19.5,22.0,-0.8,2.5,41.5,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,1.06,0.69,43.0,0.47,0.0,17.2,-100,1.5,0.32,75.0,0.5,0.25,40.0,18.3,2.5,2500.0,1.7,0.32,66.0,0.42,0.19,21.0,WR,11/16/22,0.0,0.0,0.0,0.0,10.0,7.0,92.0,29.0,12.8,10.0,0.0,0.33299999999999996,0.0,0.302,0.47100000000000003,0.34600000000000003,54.5,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adams,davante adams,d,adams8500wrd,83311-45889,WR,d,Davante Adams,adams,17.200000339084202,9.0,8500,LV@DEN,LV,DEN,Q,Abdomen,,,,WR/FLEX,ryland,ryland,davante,adams8500wrd
akers5400rbc,59.36,Cam Akers,5400,LA,@NO,,,4.92,6.6,3.2,-2.76,0.9,0.4,7.68,1.0,0.84,0.0,0.0,0.0,0.0,0.16,-0.5,18.0,18.3,20.8,-4.5,2.5,39.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,2.7,0.1,0.493,0.82,0.29,0.12,0.0,0.0,0.0,1.3,-100,0.21,0.13,0.0,0.0,0.66,30.0,4.9,-1.7,-600.0,0.52,0.27,26.0,0.08,0.21,23.0,RB,11/16/22,0.25,0.35100000000000003,0.29100000000000004,8.0,1.0,0.0,3.0,2.0,5.6,0.0,0.0,0.083,0.41700000000000004,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akers,cam akers,c,akers5400rbc,83311-89230,RB,c,Cam Akers,akers,3.4857142312186107,7.0,5400,LAR@NO,LAR,NO,,,,,,RB/FLEX,ryland,ryland,cam,akers5400rbc
akins4700tej,53.28,Jordan Akins,4700,HOU,WAS,,,3.41,4.8,2.0,-2.13,0.7,0.3,5.54,0.0,0.85,0.0,0.0,0.0,0.0,0.04,-2.8,15.0,18.8,21.8,-0.2,3.0,40.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0.06,0.0,0.0,0.0,6.0,300,2.4,0.27,40.0,0.4,0.2,50.0,5.1,0.0,-1300.0,2.43,0.34,27.0,0.13,0.09,22.0,TE,11/16/22,0.0,0.0,0.0,0.0,2.0,1.0,23.0,16.0,15.4,0.1,0.0,0.25,0.0,0.065,0.067,0.10400000000000001,10.8,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akins,jordan akins,j,akins4700tej,83311-57338,TE,j,Jordan Akins,akins,5.157142639160156,7.0,4700,WAS@HOU,HOU,WAS,,,,,,TE/FLEX,ryland,ryland,jordan,akins4700tej
aliecox4400tem,72.29,Mo Alie-Cox,4400,IND,PHI,,,3.69,5.3,2.1,-1.15,0.8,0.1,4.84,11.0,0.99,0.0,0.0,1.0,0.0,0.25,-1.3,36.0,19.5,26.0,2.7,6.5,45.5,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.24,0.12,0.0,0.0,0.0,2.3,-300,3.07,0.07,25.0,0.0,0.0,40.0,3.9,-0.9,-1600.0,1.9,0.11,45.0,0.04,0.09,22.0,TE,11/16/22,0.0,0.0,0.0,0.0,2.0,1.0,14.0,9.0,11.5,0.1,0.0,0.28600000000000003,0.0,0.065,0.1,0.068,9.4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aliecox,mo alie-cox,m,aliecox4400tem,83311-24533,TE,m,Mo Alie-Cox,aliecox,4.771428789411273,7.0,4400,PHI@IND,IND,PHI,,,,,,TE/FLEX,ryland,ryland,mo,aliecox4400tem
allen9200qbj,80.85,Josh Allen,9200,BUF,CLE,,,26.02,36.7,15.4,2.91,2.8,16.7,23.11,0.0,0.75,0.83,3.7,2.0,0.0,0.79,-6.7,66.0,29.0,21.0,4.2,-8.0,50.0,74.0,23.0,37.0,266.0,62.0,7.1,6.48,2.2,35.0,158.9,333.6,7.7,38.4,8.1,5.9,3.0,4.6,7.0,20.0,53.0,7.0,0.4,0.695,9.35,4.12,2.53,72.0,0.0,0.0,22.7,-200,0.52,0.35,100.0,0.33,0.0,30.0,26.9,4.6,3200.0,0.57,0.41,88.0,0.74,0.0,27.0,QB,11/16/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,josh allen,j,allen9200qbj,83311-62239,QB,j,Josh Allen,allen,27.21333312988281,9.0,9200,CLE@BUF,BUF,CLE,,,,,,QB,ryland,ryland,josh,allen9200qbj
allgeier6000rbt,70.33,Tyler Allgeier,6000,ATL,CHI,,,6.97,9.1,4.9,-2.2,1.2,1.5,9.17,-1.0,0.76,1.0,0.4,3.0,0.0,0.12,1.6,28.0,26.0,23.0,1.7,-3.0,49.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,49.0,4.3,0.1,0.451,1.8,0.7,0.3,0.0,0.0,0.0,8.7,100,0.63,0.29,60.0,0.6,0.4,50.0,6.3,-1.2,0.0,0.51,0.23,69.0,0.3,0.23,13.0,RB,11/16/22,0.111,0.316,0.48200000000000004,11.0,1.0,1.0,8.0,7.0,8.7,0.1,0.0,0.055999999999999994,0.444,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allgeier,tyler allgeier,t,allgeier6000rbt,83311-90428,RB,t,Tyler Allgeier,allgeier,7.622222052680121,9.0,6000,CHI@ATL,ATL,CHI,,,,,,RB/FLEX,ryland,ryland,tyler,allgeier6000rbt
andrews7700tem,76.14,Mark Andrews,7700,BAL,CAR,,,11.33,15.3,7.4,-1.22,1.5,8.1,12.55,4.0,0.96,1.0,4.7,6.0,0.0,0.78,-0.3,53.0,27.3,14.3,2.5,-13.0,41.5,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.59,0.24,38.0,0.23,0.0,3.3,-800,0.83,0.1,0.0,0.0,0.6,50.0,14.4,1.3,1700.0,1.52,0.27,52.0,0.34,0.26,23.0,TE,11/16/22,0.0,0.0,0.0,0.0,9.0,6.0,76.0,24.0,12.1,0.6,0.0,0.385,0.0,0.294,0.455,0.359,51.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,andrews,mark andrews,m,andrews7700tem,83311-52436,TE,m,Mark Andrews,andrews,12.5625,8.0,7700,CAR@BAL,BAL,CAR,Q,Shoulder,,,,TE/FLEX,ryland,ryland,mark,andrews7700tem
atlanta3400,84.35,Atlanta,3400,ATL,CHI,,,5.98,13.4,-1.5,1.53,1.8,2.8,4.45,-5.0,0.34,0.0,0.0,2.0,0.0,0.98,1.9,0.0,26.0,23.0,1.7,-3.0,49.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,100,0.0,0.0,80.0,0.4,0.2,50.0,5.5,10.0,-2600.0,0.0,0.0,80.0,0.55,0.2,20.0,D,11/16/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.1,0.5325,0.5434,0.014499999999999999,0.046799999999999994,7.29,11.76,5.73,3.46,0.205,atlanta,atlanta,a,atlanta3400,83311-12525,D,a,Atlanta Falcons,falcons,5.2,10.0,3400,CHI@ATL,ATL,CHI,,,,,,DEF,Falcons,Falcons,atlanta,atlanta3400
baltimore4700,46.14,Baltimore,4700,BAL,CAR,,,7.82,17.1,-1.4,-0.81,1.7,11.0,8.63,1.0,0.75,0.0,0.0,4.0,0.0,0.77,1.1,0.0,27.3,14.3,2.5,-13.0,41.5,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.23,0.0,7.0,300,0.0,0.0,100.0,0.5,0.0,40.0,6.9,-0.9,-1300.0,0.0,0.0,95.0,0.4,0.04,22.0,D,11/16/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.5,0.5095000000000001,0.4829,0.013000000000000001,0.0425,7.63,10.06,6.07,3.62,0.2047,baltimore,baltimore,b,baltimore4700,83311-12555,D,b,Baltimore Ravens,ravens,8.11111111111111,9.0,4700,CAR@BAL,BAL,CAR,,,,,,DEF,Ravens,Ravens,baltimore,baltimore4700
