,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
adams8100wrd,72.81,Davante Adams,8100,LV,@JAX,,,14.86,20.5,9.2,0.26,1.8,11.5,14.6,1,0.82,0,0,6,0,0.5,-0.6,58,25,22.5,0,-2.5,47.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,1.06,0.69,76,0.88,0.12,16.5,0,2.25,0.31,75,0.5,0.25,40,16.4,0.7,2100,1.57,0.28,57,0.33,0.28,21,WR,11/2/2022,0,0,0,0,10,6,82,26,12.1,0.8,0,0.333,0,0.296,0.419,0.313,48.9,33.5,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams8100wrd,82608-45889,WR,d,Davante Adams,adams,14.29999978,7,8100,LV@JAC,LV,JAC,,,,,,WR/FLEX,ryland,ryland,davante,adams8100wrd
agholor5200wrn,38.49,Nelson Agholor,5200,NE,IND,,,3.09,4.6,1.6,-4.89,0.6,0.2,7.98,3,0.87,0,0,2,0,0.04,-2.7,35,22.8,17.3,2.3,-5.5,40,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,70,0.76,0,0.7,-300,0.7,0.08,0,0,0.25,40,6.4,-0.6,-800,2.05,0.18,43,0.17,0.26,23,WR,11/2/2022,0,0,0,0,3,2,26,13,12.2,0.1,0,0.333,0,0.115,0.118,0.121,18.1,16.2,0,0,0,0,0,0,0,0,0,0,agholor,nelson agholor,n,agholor5200wrn,82608-29683,WR,n,Nelson Agholor,agholor,4.600000109,7,5200,IND@NE,NE,IND,,,,,,WR/FLEX,ryland,ryland,nelson,agholor5200wrn
aliecox4600tem,53.59,Mo Alie-Cox,4600,IND,@NE,,,2.12,3.2,1,-3.18,0.5,0.1,5.3,-4,0.63,0,0,1,0,0.16,0.1,35,17.3,22.8,-3.2,5.5,40,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.31,0.19,70,0.76,0,0,-200,0,0,0,0,0,30,3.8,-1,-1400,1.75,0.11,42,0.04,0.14,21,TE,11/2/2022,0,0,0,0,2,1,15,9,11.8,0.1,0,0.25,0,0.068,0.105,0.069,8.9,7.1,0,0,0,0,0,0,0,0,0,0,aliecox,mo alie-cox,m,aliecox4600tem,82608-24533,TE,m,Mo Alie-Cox,aliecox,5.183333397,6,4600,IND@NE,IND,NE,,,,,,TE/FLEX,ryland,ryland,mo,aliecox4600tem
allen9300qbj,78.54,Josh Allen,9300,BUF,@NYJ,,,26.12,37,15.3,2.81,2.8,19.6,23.31,0,0.5,0,0,2,0,0.77,-5.2,65,28.8,17.3,1.5,-11.5,46,59,23,37,272,63,7.3,6.63,2.2,37,164.1,326.5,10.2,47,8.6,5.9,3,4.4,7,18,47,6.5,0.3,0.659,9,4.06,2.47,72,0.72,0.04,27.4,300,0.67,0.46,100,0.66,0,30,26.3,4.1,3300,0.57,0.4,85,0.74,0.03,27,QB,11/2/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allen,josh allen,j,allen9300qbj,82608-62239,QB,j,Josh Allen,allen,28.07428632,7,9300,BUF@NYJ,BUF,NYJ,,,,,,QB,ryland,ryland,josh,allen9300qbj
allgeier6400rbt,63.61,Tyler Allgeier,6400,ATL,LAC,,,6.26,8.3,4.2,-3.91,1,0.8,10.17,0,0.81,0,0,2,0,0.16,-0.1,29,23.3,26.3,3.3,3,49.5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,46,3.9,0.1,0.429,2.13,0.88,0.38,0,0,0,9.2,700,0.6,0.26,100,0.5,0,40,6.6,-0.3,400,0.52,0.23,80,0.3,0.1,10,RB,11/2/2022,0.143,0.305,0.499,12,0,0,10,7,14.2,0.1,0,0.059,0.412,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allgeier,tyler allgeier,t,allgeier6400rbt,82608-90428,RB,t,Tyler Allgeier,allgeier,7.714285714,7,6400,LAC@ATL,ATL,LAC,,,,,,RB/FLEX,ryland,ryland,tyler,allgeier6400rbt
anderson5100wrr,37.92,Robbie Anderson,5100,ARI,SEA,,,2.61,4.1,1.1,-5.15,0.5,0.1,7.76,6,0.91,0,0,1,0,0.61,-2.6,48,25.5,23.5,-2.3,-2,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.22,0.11,0,0,0,3.7,-400,1.64,0.16,20,0,0,50,6.9,-1.3,-900,1.27,0.14,40,0.18,0.27,22,WR,11/2/2022,0,0,0,0,5,2,30,16,10.9,0.2,0,0.429,0,0.167,0.267,0.153,23.3,25.7,0,0,0,0,0,0,0,0,0,0,anderson,robbie anderson,r,anderson5100wrr,82608-26251,WR,r,Robbie Anderson,anderson,4.442857197,7,5100,SEA@ARI,ARI,SEA,,,,,,WR/FLEX,ryland,ryland,robbie,anderson5100wrr
arizona4000,46.67,Arizona,4000,ARI,SEA,,,6.18,13.3,-0.9,-0.2,1.5,1.1,6.38,9,0.97,0,0,1,0,0.45,-1.4,0,25.5,23.5,-2.3,-2,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,6.03,0,0,0,0,0,0,0,0,0,0,0,0,12.2,600,0,0,100,0.8,0,50,7.1,1.3,-2000,0,0,87,0.45,0.08,24,D,11/2/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.5,0.5483,0.5,0.0121,0.0518,7.41,11,6.25,3.85,0.2139,arizona,arizona,a,arizona4000,82608-12546,D,a,Arizona Cardinals,cardinals,7.875,8,4000,SEA@ARI,ARI,SEA,,,,,,DEF,Cardinals,Cardinals,arizona,arizona4000
atlanta3100,86.99,Atlanta,3100,ATL,LAC,,,5.26,11.7,-1.2,1.78,1.7,2.1,3.48,-5,0.34,0,0,1,0,0.97,3,0,23.3,26.3,3.3,3,49.5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,3.03,0,0,0,0,0,0,0,0,0,0,0,0,4,100,0,0,50,0.5,0.5,40,5.5,1.1,-2900,0,0,76,0.57,0.23,21,D,11/2/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.6,0.5401,0.5349,0.0137,0.0484,7.48,12.22,5.88,3.57,0.2136,atlanta,atlanta,a,atlanta3100,82608-12525,D,a,Atlanta Falcons,falcons,5.75,8,3100,LAC@ATL,ATL,LAC,,,,,,DEF,Falcons,Falcons,atlanta,atlanta3100
bandy4600wrm,60.73,Michael Bandy,4600,LAC,@ATL,,,5.22,7.7,2.8,-1.4,1.1,0.8,6.62,1,0.82,0,0,0,0,0.65,1.6,18,26.3,23.3,-1.2,-3,49.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-100,0.34,0.05,0,0,0.33,30,90,0,-1400,3.6,0.5,15,0.1,0.1,20,WR,11/2/2022,0,0,0,0,2,1,12,6,12,0,0,0,0,0.057,0,0.044,14,8.8,0,0,0,0,0,0,0,0,0,0,bandy,michael bandy,m,bandy4600wrm,82608-154661,WR,m,Michael Bandy,bandy,2.26666673,3,4600,LAC@ATL,LAC,ATL,,,,,,WR/FLEX,ryland,ryland,michael,bandy4600wrm
benjamin6600rbe,72.57,Eno Benjamin,6600,ARI,SEA,,,8.66,11.5,5.8,-2.01,1.3,1.3,10.67,3,0.9,0,0,1,0,0.31,0.1,25,25.5,23.5,-2.3,-2,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,4.1,0.2,0.48,1.29,0.41,0.18,0,0,0,14,1200,0.89,0.27,80,0.6,0.2,50,6.7,0.1,600,0.74,0.27,47,0.3,0.39,23,RB,11/2/2022,0.176,0.228,0.361,6,2,1,14,8,7.3,0,0,0.125,0.625,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,benjamin,eno benjamin,e,benjamin6600rbe,82608-85762,RB,e,Eno Benjamin,benjamin,8.887499809,8,6600,SEA@ARI,ARI,SEA,,,,,,RB/FLEX,ryland,ryland,eno,benjamin6600rbe
