,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
abdullah4700rba,59.27,Ameer Abdullah,4700,LV,@SEA,,,2.95,3.9,2.0,-2.98,0.6,0.2,5.93,-7.0,0.54,0.0,0.0,1.0,0.0,0.93,-0.1,20.0,21.8,25.8,-2.7,4.0,47.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.44,1.0,0.38,0.06,44.0,0.79,0.29,3.1,-100,0.77,0.21,100.0,0.2,0.0,50.0,4.7,-0.1,-1300.0,0.83,0.24,65.0,0.15,0.05,20.0,RB,11/23/22,0.0,0.054000000000000006,0.318,1.0,3.0,2.0,20.0,10.0,7.3,0.1,0.0,0.0,0.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abdullah,ameer abdullah,a,abdullah4700rba,83704-27229,RB,a,Ameer Abdullah,abdullah,1.7899999618530271,10.0,4700,LV@SEA,LV,SEA,,,,,,RB/FLEX,ryland,ryland,ameer,abdullah4700rba
adams9000wrd,69.60,Davante Adams,9000,LV,@SEA,,,16.55,22.9,10.2,-0.1,1.8,8.4,16.65,13.0,0.96,1.0,8.0,7.0,0.0,0.91,-4.2,58.0,21.8,25.8,-2.7,4.0,47.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,1.06,0.69,44.0,0.79,0.29,22.9,500,1.83,0.4,80.0,0.8,0.2,50.0,19.0,40.0,3000.0,1.71,0.33,68.0,0.45,0.18,22.0,WR,11/23/22,0.0,0.0,0.0,0.0,10.0,7.0,93.0,29.0,13.0,10.0,0.0,0.276,0.0,0.308,0.5,0.359,56.8,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adams,davante adams,d,adams9000wrd,83704-45889,WR,d,Davante Adams,adams,18.43999938964844,10.0,9000,LV@SEA,LV,SEA,,,,,,WR/FLEX,ryland,ryland,davante,adams9000wrd
ahmed4700rbs,65.05,Salvon Ahmed,4700,MIA,HOU,,,3.14,4.2,2.1,-2.79,0.7,0.2,5.93,-5.0,0.6,0.0,0.0,6.0,0.0,0.31,4.8,11.0,30.5,16.5,4.5,-14.0,47.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,3.1,0.0,0.353,0.06,0.0,0.0,84.0,0.69,0.06,0.7,200,0.33,0.13,0.0,0.0,0.66,30.0,2.3,-0.3,-1300.0,0.52,0.21,5.0,0.0,0.31,19.0,RB,11/23/22,0.0,0.11,0.161,4.0,0.0,0.0,2.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ahmed,salvon ahmed,s,ahmed4700rbs,83704-86780,RB,s,Salvon Ahmed,ahmed,0.6499999761581421,2.0,4700,HOU@MIA,MIA,HOU,,,,,,RB/FLEX,ryland,ryland,salvon,ahmed4700rbs
aiyuk6700wrb,62.91,Brandon Aiyuk,6700,SF,NO,,,10.1,14.1,6.1,-1.3,1.5,4.7,11.4,3.0,0.87,1.0,0.5,5.0,0.0,0.92,-0.2,57.0,26.0,17.0,3.2,-9.0,43.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.29,0.12,64.0,0.34,0.0,14.1,0,2.49,0.26,100.0,0.75,0.0,40.0,11.2,0.9,700.0,1.72,0.2,75.0,0.33,0.08,24.0,WR,11/23/22,0.0,0.0,0.0,0.0,6.0,4.0,63.0,25.0,14.7,0.5,0.0,0.467,0.0,0.21100000000000002,0.29600000000000004,0.242,37.9,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aiyuk,brandon aiyuk,b,aiyuk6700wrb,83704-85798,WR,b,Brandon Aiyuk,aiyuk,11.640000152587891,10.0,6700,NO@SF,SF,NO,,,,,,WR/FLEX,ryland,ryland,brandon,aiyuk6700wrb
akers5900rbc,57.18,Cam Akers,5900,LA,@KC,,,5.23,6.8,3.6,-3.7,0.9,0.4,8.93,-4.0,0.64,0.33,0.9,2.0,0.0,0.16,1.5,18.0,13.3,28.8,-8.2,15.5,42.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,3.0,0.1,0.519,0.78,0.28,0.11,44.0,0.67,0.0,3.7,400,0.42,0.25,40.0,0.2,0.4,50.0,5.1,-1.2,-100.0,0.51,0.28,32.0,0.12,0.2,25.0,RB,11/23/22,0.25,0.365,0.302,9.0,1.0,0.0,3.0,1.0,5.6,0.0,0.0,0.083,0.41700000000000004,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akers,cam akers,c,akers5900rbc,83704-89230,RB,c,Cam Akers,akers,3.8125,8.0,5900,LAR@KC,LAR,KC,,,,,,RB/FLEX,ryland,ryland,cam,akers5900rbc
akins4600tej,67.38,Jordan Akins,4600,HOU,@MIA,,,3.65,5.1,2.2,-1.65,0.8,0.3,5.3,1.0,0.89,0.0,0.0,0.0,0.0,0.1,1.3,16.0,16.5,30.5,-2.5,14.0,47.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.11,0.06,84.0,0.69,0.06,3.3,0,1.48,0.15,50.0,0.33,0.16,60.0,4.4,0.2,-1400.0,2.04,0.28,34.0,0.17,0.08,23.0,TE,11/23/22,0.0,0.0,0.0,0.0,2.0,1.0,22.0,15.0,14.2,0.1,0.0,0.2,0.0,0.068,0.067,0.1,10.3,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akins,jordan akins,j,akins4600tej,83704-57338,TE,j,Jordan Akins,akins,4.737500190734863,8.0,4600,HOU@MIA,HOU,MIA,,,,,,TE/FLEX,ryland,ryland,jordan,akins4600tej
allen6100qbk,55.76,Kyle Allen,6100,HOU,@MIA,,,13.72,21.7,5.8,-3.31,2.2,0.6,17.03,2.0,0.87,1.0,0.9,1.0,0.0,0.61,-3.1,18.0,16.5,30.5,-2.5,14.0,47.0,26.0,6.0,9.0,60.0,63.0,6.3,6.8,0.5,19.0,37.0,67.0,5.3,73.7,15.8,5.6,0.0,10.0,1.0,5.0,5.0,5.5,0.0,0.5,0.16,0.05,0.05,84.0,0.69,0.06,0.0,0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,0.0,100.0,0.35,0.22,7.0,0.0,0.07,26.0,QB,11/23/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,kyle allen,k,allen6100qbk,83704-53095,QB,k,Kyle Allen,allen,3.950000047683716,2.0,6100,HOU@MIA,HOU,MIA,,,,,,QB,ryland,ryland,kyle,allen6100qbk
allen7300wrk,69.04,Keenan Allen,7300,LAC,@ARI,,,12.52,17.2,7.9,-0.25,1.7,20.9,12.77,-3.0,0.7,1.0,7.0,2.0,0.0,0.63,-3.4,50.0,25.8,22.8,1.0,-3.0,48.5,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.41,0.24,0.0,0.0,0.0,9.9,-200,1.24,0.23,50.0,0.25,0.0,40.0,9.6,-0.1,1300.0,1.17,0.19,30.0,0.08,0.26,23.0,WR,11/23/22,0.0,0.0,0.0,0.0,7.0,4.0,55.0,22.0,11.6,0.4,0.0,0.33299999999999996,0.0,0.182,0.2,0.187,42.3,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,keenan allen,k,allen7300wrk,83704-29253,WR,k,Keenan Allen,allen,6.866666793823242,3.0,7300,LAC@ARI,LAC,ARI,,,,,,WR/FLEX,ryland,ryland,keenan,allen7300wrk
allgeier5900rbt,66.40,Tyler Allgeier,5900,ATL,@WAS,,,7.04,9.1,4.9,-1.89,1.2,0.3,8.93,3.0,0.9,0.0,0.0,1.0,0.0,0.16,-1.1,28.0,18.3,22.3,-1.2,4.0,40.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,49.0,4.5,0.1,0.46399999999999997,1.64,0.64,0.27,53.0,0.96,0.87,7.7,-200,0.64,0.26,66.0,0.5,0.33,60.0,6.4,-0.3,-100.0,0.53,0.23,73.0,0.33,0.2,15.0,RB,11/23/22,0.1,0.321,0.488,11.0,1.0,1.0,8.0,7.0,8.7,0.1,0.0,0.055999999999999994,0.444,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allgeier,tyler allgeier,t,allgeier5900rbt,83704-90428,RB,t,Tyler Allgeier,allgeier,7.55,10.0,5900,ATL@WAS,ATL,WAS,,,,,,RB/FLEX,ryland,ryland,tyler,allgeier5900rbt
anderson5100wrr,33.60,Robbie Anderson,5100,ARI,LAC,,,2.09,3.2,1.0,-5.67,0.4,0.2,7.76,1.0,0.82,0.0,0.0,0.0,0.0,0.04,-1.8,45.0,22.8,25.8,-0.5,3.0,48.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.17,0.06,0.0,0.0,0.0,0.1,-200,0.07,0.0,0.0,0.0,0.2,50.0,6.6,-1.3,-900.0,1.39,0.15,30.0,0.13,0.26,23.0,WR,11/23/22,0.0,0.0,0.0,0.0,4.0,2.0,26.0,14.0,11.5,0.2,0.0,0.4,0.0,0.14,0.2,0.126,23.4,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anderson,robbie anderson,r,anderson5100wrr,83704-26251,WR,r,Robbie Anderson,anderson,3.900000095367432,8.0,5100,LAC@ARI,ARI,LAC,,,,,,WR/FLEX,ryland,ryland,robbie,anderson5100wrr
