,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
adams9600wrd,93.9,Davante Adams,9600,GB,@DET,,,18.45,25,11.9,2.63,1.9,28,21,15.82,0,0.84,1,8.9,9,0,0.93,1.6,58,32.5,23,1,-9.5,55.5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,1.07,0.73,0,0,0,19.7,100,1.92,0.35,100,0.25,0,40,22.4,7.4,1600,1.91,0.39,80,0.45,0.1,20,WR,1520,0,0,0,0,11,8,103,29,12.1,1.2,7.4,0.379,0,0.335,0.469,0.38,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams9600wrd,,WR,,,,,,,,,,,,,,,,,,
agholor5200wrn,91.55,Nelson Agholor,5200,LV,IND,,,8.71,12.2,5.2,2.93,1.7,3,18.5,5.78,-15,0.51,0.83,1.7,5,0,0.89,1,44,24.5,27,0.7,2.5,51.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.33,0.13,0,0,0,8.2,100,1.09,0.18,75,0.25,0.25,40,7.1,2.9,300,1.54,0.16,62,0.37,0.31,16,WR,1520,0,0,0,0,4,2,44,24,16.2,0.5,0,0.3,0,0.144,0.273,0.175,0,0,0,0,0,0,0,0,0,0,agholor,nelson agholor,n,agholor5200wrn,,WR,,,,,,,,,,,,,,,,,,
aiyuk6700wrb,86.55,Brandon Aiyuk,6700,SF,WAS,,,11.14,15.6,6.7,1.94,1.7,6.5,16.9,9.2,-5,0.7,1,4.3,3,0,0.58,0.2,58,23.3,20.3,-0.2,-3,43.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0.75,0.58,72,0,0,17.1,200,1.43,0.29,66,0.66,0,30,12.9,4.3,1500,1.66,0.22,69,0.46,0,13,WR,1520,0,0,0,0,7,4,60,24,13.5,0.4,0,0.308,0,0.208,0.286,0.218,0,0,0,0,0,0,0,0,0,0,aiyuk,brandon aiyuk,b,aiyuk6700wrb,,WR,,,,,,,,,,,,,,,,,,
akins5000tej,88.65,Jordan Akins,5000,HOU,@CHI,,,6.61,9.2,4.1,1.67,1.3,0.5,3.5,4.94,1,0.91,0.92,5.2,2,0,0.08,2.2,35,23.5,22.5,-0.3,-1,46,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.2,0,34,0.83,0.04,3.6,100,1.09,0.11,25,0.25,0.75,40,3.5,-0.3,700,0.99,0.1,36,0.26,0.47,19,TE,1520,0,0,0,0,3,2,28,12,11.2,0.1,3.7,0.143,0,0.114,0.059,0.108,0,0,0,0,0,0,0,0,0,0,akins,jordan akins,j,akins5000tej,,TE,,,,,,,,,,,,,,,,,,
alie-cox4600tem,84.05,Mo Alie-Cox,4600,IND,@LV,,,5.19,7.3,3.1,1.19,1.1,0.5,1.4,4,-6,0.58,1,0.8,4,0,0.08,0.3,34,27,24.5,0.2,-2.5,51.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.13,0.13,0,0,0,2.4,-300,0.81,0.06,66,0,0.33,30,4.9,0.9,600,1.89,0.14,66,0.13,0.13,15,TE,1520,0,0,0,0,2,2,27,15,13.3,0.1,12,0.4,0,0.079,0.133,0.115,0,0,0,0,0,0,0,0,0,0,alie-cox,mo alie-cox,m,alie-cox4600tem,,TE,,,,,,,,,,,,,,,,,,
allen6500qbb,75.25,Brandon Allen,6500,CIN,DAL,,,15.04,24.9,5.2,0.82,2.3,0.5,13.88,14.22,-7,0.27,0,0,1,0,0.58,2.1,46,20.5,23.5,0.7,3,44,41,14,24,144,58,6,3.42,1,45,10.4,58.3,25,4.2,4.2,12.7,3,3,5,1.7,0,0.333,0.33,0.07,0.07,44,0.69,0.02,8.3,500,0.27,0.18,50,0,0,40,3.3,-0.7,500,0.11,0.07,13,0,0.2,15,QB,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,brandon allen,b,allen6500qbb,,QB,,,,,,,,,,,,,,,,,,
allen8500wrk,82.95,Keenan Allen,8500,LAC,ATL,,,14.63,19.7,9.6,1.32,1.7,6.5,15.7,13.31,12,0.97,1,8,6,0,0.78,3.5,65,25,24,1.2,-1,49,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.47,0.13,0,0,0,14.8,700,1.26,0.22,75,0.25,0.25,40,14.6,4.1,1500,1.22,0.23,86,0.46,0.13,15,WR,1520,0,0,0,0,10,7,78,20,10.4,0.5,8.4,0.368,0,0.278,0.308,0.274,0,0,0,0,0,0,0,0,0,0,allen,keenan allen,k,allen8500wrk,,WR,,,,,,,,,,,,,,,,,,
amendola5200wrd,68.95,Danny Amendola,5200,DET,GB,,,6.16,8.9,3.4,0.38,1.2,0.5,9.6,5.78,-11,0.58,0,0,1,0,0.63,0.8,37,23,32.5,0,9.5,55.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.07,0,0,0,5.1,0,1.28,0.18,25,0,0.25,40,6.7,0.7,100,1.06,0.18,60,0.33,0.26,15,WR,1520,0,0,0,0,5,3,47,24,14.2,0,6.3,0,0,0.154,0,0.179,0,0,0,0,0,0,0,0,0,0,amendola,danny amendola,d,amendola5200wrd,,WR,,,,,,,,,,,,,,,,,,
anderson6500wrr,97.8,Robby Anderson,6500,CAR,DEN,,,13.42,18.5,8.4,4.67,2.1,23,13.7,8.75,-7,0.66,0.92,3.1,6,0,0.93,-0.8,50,25,21,0.7,-4,46,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.21,0.07,67,0.67,0.01,9.9,100,1.35,0.21,66,0.33,0.33,30,10.8,2.6,900,1.3,0.22,86,0.33,0.13,15,WR,1520,0,0,0,0,8,5,68,28,12,0.2,5.3,0,0,0.256,0.176,0.275,0,0,0,0,0,0,0,0,0,0,anderson,robby anderson,r,anderson6500wrr,,WR,,,,,,,,,,,,,,,,,,
arizona4500,30.62,Arizona,4500,ARI,@NYG,,,6.5,13.6,-0.6,-0.79,1.4,3,16,7.29,-2,0.57,0,0,1,0,0.1,-1.3,0,25,22,1.2,-3,47,56,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5.88,0,0,0,0,0,0,0,0,0,56,0.65,0.02,2.3,900,0,0,60,0,0.2,50,4.9,-0.1,1200,0,0,81,0.43,0.12,16,DEF,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5169,0.5123,0.0094,0.0403,6.74,10.13,5.5,3.31,0.1974,arizona,arizona,a,arizona4500,,D,,,,,,,,,,,,,,,,,,
