,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
adams9000wrd,79.70,Davante Adams,9000,GB,@TB,,,15.52,21.0,10.0,1.07,1.7,6.5,9.1,14.45,10.0,0.96,1.0,10.0,7.0,0.0,0.63,0.5,56.0,29.0,26.0,2.5,-3.0,55.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.43,0.29,84.0,0.6,0.08,5.1,400,1.7,0.13,0.0,0.0,0.33,30.0,15.2,4.1,1000.0,1.37,0.27,57.0,0.26,0.31,19.0,WR,620,0.0,0.0,0.0,0.0,11.0,7.0,81.0,24.0,10.8,0.7,6.8,0.25,0.0,0.317,0.43799999999999994,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adams,davante adams,d,adams9000wrd,50946-45889:Davante Adams,50946-45889,WR,d,Davante Adams,adams,19.85000038,2.0,9000.0,GB@TB,GB,TB,,,,ryland,ryland,davante,adams9000wrd
allen6400qbk,79.25,Kyle Allen,6400,WAS,@NYG,,,15.42,26.0,4.8,1.4,2.4,0.5,17.0,14.02,-5.0,0.39,1.0,0.7,1.0,0.0,0.74,-0.7,66.0,20.3,22.3,-0.2,2.0,42.5,51.0,23.0,38.0,249.0,61.0,6.6,3.97,1.0,32.0,23.4,53.9,17.1,2.6,4.2,9.1,2.0,6.0,10.0,4.1,0.3,0.423,4.13,2.53,1.47,62.0,0.57,0.01,9.7,400,0.6,0.39,25.0,0.0,0.0,40.0,13.3,-0.3,400.0,0.3,0.2,60.0,0.26,0.13,15.0,QB,620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,kyle allen,k,allen6400qbk,50946-53095:Kyle Allen,50946-53095,QB,k,Kyle Allen,allen,9.659999847,1.0,6400.0,WAS@NYG,WAS,NYG,,,,ryland,ryland,kyle,allen6400qbk
amendola4900wrd,85.25,Danny Amendola,4900,DET,@JAX,,,7.27,10.2,4.3,2.17,1.5,0.5,4.1,5.1,-10.0,0.6,0.0,0.0,4.0,0.0,0.78,0.3,44.0,27.8,24.8,0.0,-3.0,52.5,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.33,0.07,76.0,0.84,0.15,4.0,-300,0.86,0.13,33.0,0.0,0.66,30.0,6.9,0.1,-200.0,0.92,0.16,75.0,0.25,0.25,16.0,WR,620,0.0,0.0,0.0,0.0,6.0,4.0,47.0,21.0,11.8,0.0,6.7,0.0,0.0,0.188,0.0,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amendola,danny amendola,d,amendola4900wrd,50946-8117:Danny Amendola,50946-8117,WR,d,Danny Amendola,amendola,5.6750001910000005,4.0,4900.0,DET@JAC,DET,JAC,,,,ryland,ryland,danny,amendola4900wrd
anderson6500wrr,96.65,Robby Anderson,6500,CAR,CHI,,,12.95,18.0,7.9,4.2,2.0,10.5,9.7,8.75,2.0,0.88,0.8,5.5,4.0,0.0,0.91,-0.4,55.0,23.5,21.5,0.2,-2.0,45.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.31,0.13,63.0,0.45,0.0,12.7,600,1.24,0.28,100.0,0.75,0.0,40.0,10.1,2.1,900.0,1.38,0.18,72.0,0.38,0.27,18.0,WR,620,0.0,0.0,0.0,0.0,7.0,4.0,63.0,25.0,14.1,0.3,7.4,0.2,0.0,0.222,0.22699999999999998,0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anderson,robby anderson,r,anderson6500wrr,50946-26251:Robby Anderson,50946-26251,WR,r,Robby Anderson,anderson,14.63999939,5.0,6500.0,CHI@CAR,CAR,CHI,,,,ryland,ryland,robby,anderson6500wrr
andrews7600tem,74.45,Mark Andrews,7600,BAL,@PHI,,,10.55,14.3,6.8,-0.46,1.4,10.5,3.1,11.01,1.0,0.91,1.0,9.7,9.0,0.0,0.89,6.7,31.0,28.5,18.0,0.5,-10.5,46.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.47,0.27,63.0,0.56,0.01,10.2,100,1.78,0.26,50.0,0.25,0.5,40.0,10.4,1.2,200.0,1.82,0.34,66.0,0.38,0.33,18.0,TE,620,0.0,0.0,0.0,0.0,5.0,3.0,47.0,26.0,13.8,0.9,9.2,0.45,0.0,0.23199999999999998,0.353,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,andrews,mark andrews,m,andrews7600tem,50946-52436:Mark Andrews,50946-52436,TE,m,Mark Andrews,andrews,12.24000015,5.0,7600.0,BAL@PHI,BAL,PHI,,,,ryland,ryland,mark,andrews7600tem
atlanta3200,27.79,Atlanta,3200,ATL,@MIN,,,5.1,10.6,-0.4,1.99,1.6,0.5,7.0,3.11,-4.0,0.45,0.0,0.0,1.0,0.0,0.71,1.6,0.0,25.0,28.5,-1.5,3.5,53.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-100,0.0,0.0,40.0,0.2,0.6,50.0,5.5,0.4,-400.0,0.0,0.0,58.0,0.41,0.41,17.0,DEF,620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.5264,0.5297,0.0132,0.0435,7.67,9.87,6.64,3.86,0.2027,atlanta,atlanta,a,atlanta3200,50946-12525:Atlanta Falcons,50946-12525,D,a,Atlanta Falcons,falcons,1.4,5.0,3200.0,ATL@MIN,ATL,MIN,,,,Falcons,Falcons,atlanta,atlanta3200
baltimore4900,65.96,Baltimore,4900,BAL,@PHI,,,8.5,16.9,0.1,-0.07,1.7,14.5,9.0,8.57,0.0,0.72,0.0,0.0,2.0,0.0,0.97,2.1,0.0,28.5,18.0,0.5,-10.5,46.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,7.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.56,0.01,13.5,200,0.0,0.0,100.0,0.75,0.0,40.0,12.2,3.8,100.0,0.0,0.0,95.0,0.8,0.05,20.0,DEF,620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.4506,0.4522,0.0127,0.034,6.15,7.36,4.18,3.44,0.1748,baltimore,baltimore,b,baltimore4900,50946-12555:Baltimore Ravens,50946-12555,D,b,Baltimore Ravens,ravens,13.8,5.0,4900.0,BAL@PHI,BAL,PHI,,,,Ravens,Ravens,baltimore,baltimore4900
beckham6700wro,91.80,Odell Beckham,6700,CLE,@PIT,,,11.81,16.5,7.1,2.61,1.8,3.0,3.5,9.2,8.0,0.95,1.0,1.6,5.0,0.0,0.89,2.5,59.0,23.5,26.5,0.0,3.0,50.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.53,0.47,62.0,0.41,0.01,17.6,-100,1.82,0.31,100.0,0.33,0.0,30.0,11.2,1.3,-200.0,1.23,0.19,75.0,0.25,0.25,16.0,WR,620,0.0,0.0,0.0,0.0,7.0,4.0,59.0,27.0,13.5,0.4,8.2,0.188,0.0,0.253,0.222,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beckham,odell beckham,o,beckham6700wro,50946-31360:Odell Beckham Jr.,50946-31360,WR,o,Odell Beckham Jr.,beckham,14.36399994,5.0,6700.0,CLE@PIT,CLE,PIT,Q,Illness,,ryland,ryland,odell,beckham6700wro
beebe4500wrc,56.60,Chad Beebe,4500,MIN,ATL,,,3.42,4.9,1.9,-0.77,0.8,0.5,2.3,4.19,-35.0,0.24,0.0,0.0,1.0,0.0,0.49,2.4,21.0,28.5,25.0,-1.5,-3.5,53.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0,1.4,0.07,25.0,0.0,0.0,40.0,1.4,-0.2,0.0,1.4,0.07,5.0,0.0,0.0,17.0,WR,620,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,90.0,0.0,0.0,0.0,0.0,0.035,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beebe,chad beebe,c,beebe4500wrc,50946-43912:Chad Beebe,50946-43912,WR,c,Chad Beebe,beebe,1.399999976,2.0,4500.0,ATL@MIN,MIN,ATL,,,,ryland,ryland,chad,beebe4500wrc
bernard4600rbg,53.35,Giovani Bernard,4600,CIN,@IND,,,3.01,4.4,1.6,-2.17,0.7,0.5,10.3,5.18,-25.0,0.2,0.0,0.0,1.0,0.0,0.7,-0.8,25.0,19.3,26.8,0.8,7.5,46.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,4.4,0.0,0.441,1.0,0.33,0.13,0.0,0.0,0.0,3.3,-200,1.4,0.22,66.0,0.33,0.33,30.0,3.4,-2.3,-300.0,0.7,0.14,81.0,0.06,0.18,16.0,RB,620,0.0,0.08900000000000001,0.35,2.0,2.0,1.0,15.0,10.0,7.9,0.0,4.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bernard,giovani bernard,g,bernard4600rbg,50946-25290:Giovani Bernard,50946-25290,RB,g,Giovani Bernard,bernard,3.9200000760000004,5.0,4600.0,CIN@IND,CIN,IND,,,,ryland,ryland,giovani,bernard4600rbg
