,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
arizona3500,73.38,Arizona,3500,ARI,PIT,,,6.7,13.8,1.2,2.63,1.9,3.0,7.0,4.07,-10.0,0.37,0.0,0.0,1.0,0.0,0.76,2.2,0.0,20.5,23.0,0.0,2.5,43.5,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0,0.0,0.0,66.0,0.66,0.33,30.0,4.8,0.6,-2500.0,0.0,0.0,77.0,0.33,0.22,18.0,DEF,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.552,0.4902,0.0069,0.048600000000000004,8.11,10.19,5.19,3.17,0.22089999999999999,arizona,arizona,a,arizona3500,41210-12546,D,a,Arizona Cardinals,cardinals,3.75,12,3500,PIT@ARI,ARI,PIT,,,,,,Cardinals,Cardinals,arizona,arizona3500
atlanta3500,84.46,Atlanta,3500,ATL,CAR,,,7.8,15.6,1.1,3.73,2.2,14.5,14.0,4.07,-2.0,0.27,0.0,0.0,2.0,0.0,1.0,5.1,0.0,25.8,22.3,0.5,-3.5,48.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,500,0.0,0.0,60.0,0.4,0.4,50.0,50.0,0.8,-2500.0,0.0,0.0,57.0,0.23,0.42,21.0,DEF,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.5221,0.48210000000000003,0.0143,0.045700000000000005,7.7,10.06,5.4,3.67,0.2112,atlanta,atlanta,a,atlanta3500,41210-12525,D,a,Atlanta Falcons,falcons,4.166666666666667,12,3500,CAR@ATL,ATL,CAR,,,,,,Falcons,Falcons,atlanta,atlanta3500
baltimore4200,69.7,Baltimore,4200,BAL,@BUF,,,7.7,14.6,1.5,1.38,1.8,6.5,9.0,6.32,-6.0,0.39,0.0,0.0,2.0,0.0,0.69,-1.0,0.0,25.3,18.8,1.0,-6.5,44.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.77,0.04,14.2,-800,0.0,0.0,100.0,1.0,0.0,60.0,10.3,2.6,-1800.0,0.0,0.0,88.0,0.53,0.11,26.0,DEF,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.465,0.4939,0.02,0.0387,7.01,9.47,4.31,30.0,0.1479,baltimore,baltimore,b,baltimore4200,41210-12555,D,b,Baltimore Ravens,ravens,9.916666666666666,12,4200,BAL@BUF,BAL,BUF,,,,,,Ravens,Ravens,baltimore,baltimore4200
barber5700rbp,51.35,Peyton Barber,5700,TB,IND,,,5.9,14.0,0.9,-2.03,1.0,0.5,6.3,7.93,0.0,0.76,0.5,0.8,1.0,0.0,0.36,-1.5,26.0,24.8,21.8,-1.7,-3.0,46.5,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,3.4,0.4,0.444,1.94,1.19,0.81,78.0,0.59,0.02,10.2,400,0.95,0.54,75.0,0.5,0.25,40.0,8.5,0.5,-300.0,0.64,0.33,61.0,0.23,0.19,21.0,RB,14,0.467,0.42100000000000004,0.366,11.0,1.0,1.0,4.0,3.0,4.1,0.1,2.1,0.24100000000000002,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,barber,peyton barber,p,barber5700rbp,41210-40857,RB,p,Peyton Barber,barber,7.78333346048991,12,5700,IND@TB,TB,IND,,,,,,ryland,ryland,peyton,barber5700rbp
beasley6100wrc,64.39,Cole Beasley,6100,BUF,BAL,,,8.3,13.6,0.3,0.46,1.4,0.5,12.9,7.84,-4.0,0.82,0.67,0.9,1.0,0.0,0.62,-0.8,49.0,18.8,25.3,0.0,6.5,44.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.31,0.13,40.0,0.77,0.04,14.4,600,2.21,0.25,100.0,0.6,0.0,50.0,9.7,30.0,100.0,1.54,0.2,78.0,0.47,0.04,23.0,WR,14,0.0,0.0,0.0,0.0,6.0,4.0,52.0,19.0,11.7,0.4,8.8,0.444,0.0,0.196,0.24,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beasley,cole beasley,c,beasley6100wrc,41210-22288,WR,c,Cole Beasley,beasley,10.25,12,6100,BAL@BUF,BUF,BAL,,,,,,ryland,ryland,cole,beasley6100wrc
beckham6800wro,83.18,Odell Beckham,6800,CLE,CIN,,,11.5,18.6,0.9,2.07,1.7,14.5,4.9,9.43,-10.0,0.42,0.95,5.1,4.0,0.0,0.94,1.3,66.0,24.8,18.3,-0.5,-6.5,43.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.25,0.25,48.0,0.67,0.03,9.2,-100,1.02,0.14,60.0,0.0,0.4,50.0,7.4,-1.2,800.0,0.76,0.11,27.0,0.04,0.59,22.0,WR,14,0.0,0.0,0.0,0.0,8.0,4.0,67.0,32.0,14.1,0.2,7.8,0.0,0.0,0.259,0.133,0.27399999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beckham,odell beckham,o,beckham6800wro,41210-31360,WR,o,Odell Beckham Jr.,beckham,10.066666920979818,12,6800,CIN@CLE,CLE,CIN,Q,Groin,,,,ryland,ryland,odell,beckham6800wro
bernard4700rbg,48.36,Giovani Bernard,4700,CIN,@CLE,,,4.2,10.6,0.1,-1.23,0.9,0.5,5.6,5.43,-13.0,0.55,0.0,0.0,0.0,0.0,0.61,-2.1,26.0,18.3,24.8,1.0,6.5,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.8,0.0,0.294,1.06,0.44,0.19,48.0,0.67,0.03,2.7,0,0.59,0.13,75.0,0.0,0.25,40.0,3.2,-2.3,-1300.0,0.53,0.12,50.0,0.0,0.25,20.0,RB,14,0.0,0.096,0.39799999999999996,3.0,2.0,2.0,14.0,11.0,7.1,0.0,5.2,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bernard,giovani bernard,g,bernard4700rbg,41210-25290,RB,g,Giovani Bernard,bernard,3.350000063578288,12,4700,CIN@CLE,CIN,CLE,,,,,,ryland,ryland,giovani,bernard4700rbg
blough6900qbd,45.86,David Blough,6900,DET,@MIN,,,14.1,20.8,6.7,-0.9,2.0,0.5,10.2,15.0,-8.0,0.45,1.0,0.9,0.0,0.0,0.33,1.2,76.0,15.8,27.8,0.8,12.0,43.5,42.0,22.0,38.0,280.0,57.0,7.4,6.35,2.0,75.0,7.9,57.9,28.9,5.3,2.6,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,4.6,900,0.11,0.06,25.0,0.25,0.75,40.0,1.5,0.3,900.0,0.04,0.02,5.0,0.05,0.64,17.0,QB,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blough,david blough,d,blough6900qbd,41210-52606,QB,d,David Blough,blough,18.299999237060547,1,6900,DET@MIN,DET,MIN,,,,,,ryland,ryland,david,blough6900qbd
bourne4900wrk,63.88,Kendrick Bourne,4900,SF,@NO,,,6.4,11.8,0.0,1.3,1.3,0.5,15.3,5.1,-15.0,0.69,0.0,0.0,1.0,0.0,0.5,0.6,35.0,22.0,23.0,1.0,1.0,45.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.38,0.13,0.0,0.0,0.0,7.7,100,1.62,0.2,100.0,0.4,0.0,50.0,5.7,0.9,-1100.0,1.68,0.16,80.0,0.33,0.04,21.0,WR,14,0.0,0.0,0.0,0.0,3.0,2.0,29.0,15.0,12.7,0.3,9.2,0.5,0.0,0.113,0.14800000000000002,0.11599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bourne,kendrick bourne,k,bourne4900wrk,41210-80289,WR,k,Kendrick Bourne,bourne,5.166666666666667,12,4900,SF@NO,SF,NO,,,,,,ryland,ryland,kendrick,bourne4900wrk
boyd6300wrt,82.38,Tyler Boyd,6300,CIN,@CLE,,,10.2,21.6,1.6,1.91,1.6,3.0,10.7,8.29,19.0,0.96,0.95,4.4,3.0,0.0,0.94,0.6,60.0,18.3,24.8,1.0,6.5,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.13,0.06,48.0,0.67,0.03,10.4,600,1.35,0.17,75.0,0.5,0.25,40.0,8.5,10.0,300.0,0.95,0.14,54.0,0.22,0.27,22.0,WR,14,0.0,0.0,0.0,0.0,8.0,5.0,60.0,22.0,11.3,0.3,6.6,0.33299999999999996,0.0,0.244,0.28600000000000003,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boyd,tyler boyd,t,boyd6300wrt,41210-40669,WR,t,Tyler Boyd,boyd,10.450000127156576,12,6300,CIN@CLE,CIN,CLE,,,,,,ryland,ryland,tyler,boyd6300wrt
